sample_set,variant,calibration_method,stratum_column,stratum_value,seed_count,sample_count_mean,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,oracle_label_accuracy_mean,original_raw_soft_MAE_mean,original_raw_soft_MSE_mean,original_raw_soft_regret_mean,delta_MAE_vs_original,delta_MSE_vs_original,delta_regret_vs_original
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,oracle_model,CrossFormer,3,2893.0,0.48769164689344807,0.003682402002993824,0.7511658540581658,0.01972482705521387,0.047704368910824864,0.1503629450397511,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,oracle_model,DLinear,3,9290.0,0.3655487747371793,0.0021751970509423482,1.359924479934394,0.025371165308508626,0.0158795368849181,0.7954790096878362,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,oracle_model,ES,3,10499.0,0.1294486945286264,0.0023182951032576843,1.171018213785797,0.43693466226825145,0.0357421990612241,0.5669111343937517,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,oracle_model,NaiveForecaster,3,2496.0,0.3648514643323484,0.0016825942695335807,3.3381664489401963,0.022240907882818937,0.08282871531044084,0.38848824786324787,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,oracle_model,PatchTST,3,4822.0,0.4003108355018263,0.004512554059489249,0.710964418324509,0.0021934593159726157,0.028499882237706733,0.37709111018940966,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q1,3,7875.0,0.005551155875200634,0.0002358890319390356,0.02546211378010903,0.00010808135092890613,0.0023757737417765,0.6499047619047619,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q2,3,4115.0,0.25429885247338896,0.0009791603693964565,0.47366138357252,0.0009455967426858864,0.018780137281494035,0.33989469420818147,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q3,3,6674.0,0.34912210847799524,0.0018365390254307839,0.7019866038630092,0.002148047909325261,0.018368177151178434,0.433073619019079,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q4,3,6547.0,0.4196669865349882,0.0014924908601458764,0.6630496209586921,0.004215838067651602,0.03953748951666303,0.5607657451249937,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q5,3,4789.0,0.5928448853870596,0.0023779197374488364,5.78116519954392,1.0286231853536154,0.11015311111430033,0.7280573536576878,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,dataset_name,TEST_DATA_HOUR,3,24051.0,0.2901962869135445,0.001039120920591671,1.4434962423187405,0.20283978289235832,0.028430510333803834,0.561265643840173,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,dataset_name,TEST_DATA_MIN,3,5949.0,0.3407932598475172,0.0005541518556373675,0.6966124085771326,0.00535700147889577,0.053987508218265805,0.5153807362581947,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_HIGH_HIGH,3,7782.0,0.10797223500195348,0.00029686217436831363,0.10862935153488061,0.00036154280732643494,0.006042701611120732,0.6135098089608498,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_HIGH_LOW,3,6134.0,0.3497296187223247,0.0006849578665971622,2.250466592118426,0.04555594910322502,0.034530897095655495,0.5166829692424736,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_LOW_HIGH,3,1256.0,0.2901998967325878,0.0006513976204209559,0.23068498853688488,0.0015270030706578343,0.04352126237423137,0.5639596602972399,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_LOW_LOW,3,1398.0,0.5123622177518176,0.002455967604989345,1.3257159706516228,0.006336225133005123,0.09225553619412441,0.3638531235097759,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_HIGH_HIGH,3,4437.0,0.3411926761329018,0.001453100259588014,0.4485248838963268,0.00438559825706178,0.03363805149833116,0.6125760649087221,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_HIGH_LOW,3,6389.0,0.41258831949184316,0.0028092827050414204,2.881367796394061,0.7941903041331787,0.04595979357657531,0.5219387488913236,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_LOW_HIGH,3,1305.0,0.14980491991618725,0.0004937179903683154,0.12149786509881126,0.00105311689394421,0.016467721464283634,0.6240102171136653,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_LOW_LOW,3,1299.0,0.45823020548400945,0.002178073503472884,1.1633178640474346,0.019251454022104295,0.07552085172836197,0.413651526815499,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,forecastability_cat,high,3,10039.0,0.12904258183102654,8.606594535043689e-05,0.11799466198746163,0.00025100351600171425,0.010832822607831166,0.6100209184181691,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,forecastability_cat,low,3,19243.0,0.39006497036300264,0.0012781897985007819,1.9458190140125862,0.25408044100092525,0.04549274229007513,0.5182663825806787,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,forecastability_cat,medium,3,718.0,0.2860881555621194,0.001316586599561893,0.3255315380181904,0.0023868461737884777,0.02895034036329627,0.6518105849582172,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,season_strength_cat,moderate,3,6274.0,0.37650932638870577,0.0018551025693800587,0.5893904235554656,0.0016331356015858653,0.04604506532358743,0.5066411645946233,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,season_strength_cat,strong,3,18779.0,0.25892839057035777,0.0007848498839760214,1.6767118987364606,0.26005500853191815,0.022805622934819733,0.5835418996396684,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,season_strength_cat,weak,3,4947.0,0.36026970671256286,8.684521703592207e-05,0.7432518857639784,0.007390205776536948,0.05817674499608091,0.4908025065696382,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,trend_strength_cat,moderate,3,13036.0,0.36252422963527947,0.0015498724458888886,1.7459363065135534,0.39182970211855206,0.041633364819006764,0.5436739286079574,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,trend_strength_cat,strong,3,13233.0,0.22111647181079777,0.0007039745708224113,1.0575795180348873,0.020096864352913215,0.023109880826017403,0.5620292702586968,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,trend_strength_cat,weak,3,3731.0,0.36317069696937754,0.0022514735130463627,0.5646475177612018,0.002575609169636274,0.04192127946328563,0.5468596444206201,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,cv_cat,highly_variable,3,1891.0,0.4595966592128016,0.005193341628359059,13.788883241703383,2.577983578808311,0.07401001689080404,0.5258240789705623,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,cv_cat,moderate,3,10548.0,0.34667760596270547,0.0013850329150563198,0.5157920429843813,0.002830481127492774,0.03373608971815457,0.5328340285678169,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,cv_cat,stable,3,10710.0,0.16966307881201023,0.0001666156236468952,0.17815099811030555,0.000468733127684572,0.017157020909052866,0.5906006847183317,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,cv_cat,variable,3,6851.0,0.38884042549231973,0.0012357071498181897,0.7938002442580153,0.0063260013386558745,0.04749685888267674,0.529119836520216,,,,,,
pilot_selection,film_mean_patch_aux,power_temperature_T0p85,missing_ratio_cat,complete,3,30000.0,0.30022966664635126,0.0008573521146741222,1.2953891780877795,0.16304836609630186,0.033498463014292636,0.5521666666666666,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,oracle_model,CrossFormer,3,4000.0,0.48903138693175663,0.003756911530153564,0.9714452645126846,0.015682257162970586,0.04368787890554323,0.15175000000000002,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,oracle_model,DLinear,3,4000.0,0.3550409002329495,0.0022616400385801474,0.5745927078931938,0.00611975695433802,0.015498427495762933,0.7984166666666667,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,oracle_model,ES,3,4000.0,0.12887661401021186,0.0006707481037724995,0.4143275500589403,0.017393079700090432,0.0342942156099555,0.5595,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,oracle_model,NaiveForecaster,3,4000.0,0.37228901121591845,0.00410476781455525,4.412375222800842,0.04968152222876846,0.08378301541796053,0.3901666666666667,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,oracle_model,PatchTST,3,4000.0,0.3859761658307979,0.0037012760306161722,0.6177509140167458,0.002480914235720071,0.0264993267690297,0.36991666666666667,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q1,3,2935.0,0.004209452999545267,0.00016726690026804095,0.007115549469323333,8.358334201955351e-05,0.002132409905336267,0.6511073253833048,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q2,3,3525.0,0.26855599606579195,0.0011609324533288974,1.0996782986168376,0.006131909643578319,0.024510187832249702,0.2392434988179669,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q3,3,5134.0,0.36411477568625683,0.001955406909960268,0.8056552735790555,0.006485193401167349,0.021302423813753534,0.31229710427217244,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q4,3,4756.0,0.43733237324202845,0.002290632833380827,0.7937692242622688,0.019299808859730965,0.04296950301060586,0.46895149985982615,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,error_gap_quantile,q5,3,3650.0,0.5524722347092125,0.006718893320760076,4.425565997716873,0.03768953622026201,0.11196296477641464,0.6824657534246575,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,dataset_name,TEST_DATA_HOUR,3,15446.0,0.34024784911640876,0.0022492936440053407,1.6143644309631637,0.013154403418825022,0.03636031214161873,0.43251758815658853,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,dataset_name,TEST_DATA_MIN,3,4554.0,0.36657620453106876,0.0014056510893065044,0.6645791911446193,0.0027102522395898933,0.0556499946099177,0.5266432440345484,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_HIGH_HIGH,3,3859.0,0.1611340753126644,0.0015862821782329656,0.1984755336979196,0.009205073452519827,0.010880699646532868,0.5112723503498315,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_HIGH_LOW,3,4247.0,0.35159021720278033,0.0019719397134962662,1.3238118792016325,0.03671644475599437,0.037895922373945665,0.39604426654108776,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_LOW_HIGH,3,937.0,0.3428312775766979,0.0024885840767687405,0.2711553970335558,0.003488484963992411,0.04636637102152386,0.5407328352899324,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,HIGH_LOW_LOW,3,1033.0,0.5232561319068638,0.0015005261141021883,1.3242046250635242,0.006146027691997733,0.09173511351210344,0.361406905453372,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_HIGH_HIGH,3,3271.0,0.34443925622237065,0.002564909813191895,0.4450543916315976,0.004338695647756623,0.03387238587159447,0.5292978701722205,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_HIGH_LOW,3,4919.0,0.44462091199586085,0.0038532649162512323,3.508223894059346,0.048061657931281754,0.054004784770406065,0.4061123534593752,,,,,,
diagnostic_balanced,film_mean_patch_aux,power_temperature_T0p85,group_name,LOW_LOW_HIGH,3,746.0,0.22465642875443703,0.0009002144830068822,0.17539248938524157,0.001302645897633573,0.0245362486413757,0.5781948168007149,,,,,,
