sample_set,variant,calibration_method,selected_model,seed_count,sample_count_total_over_seeds,ratio_mean,ratio_std,ratio_min,ratio_max
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,ES,3,45225,0.20099999999999998,0.18902411039629605,0.0730933333333333,0.41812
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,NaiveForecaster,3,26850,0.11933333333333329,0.01670689012885931,0.10108,0.1338666666666666
pilot_test,cls_mean_concat_plus_aux,power_temperature_T0p85,PatchTST,3,78497,0.34887555555555555,0.02601366250717179,0.3195866666666667,0.3692933333333333
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,CrossFormer,3,32643,0.14508,0.1424357583068397,0.0607866666666666,0.3095333333333333
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,DLinear,3,24981,0.11102666666666662,0.008391021656773646,0.1014533333333333,0.1171066666666666
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,ES,3,49972,0.22209777777777776,0.1209799589157612,0.1393733333333333,0.3609466666666667
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,NaiveForecaster,3,22811,0.10138222222222215,0.02202489635070409,0.0771333333333333,0.1201466666666666
pilot_test,film_cls_mean_concat_aux,power_temperature_T0p85,PatchTST,3,94593,0.4204133333333333,0.1346650382739831,0.3394666666666667,0.5758666666666666
pilot_test,film_mean_patch_aux,power_temperature_T0p85,CrossFormer,3,9582,0.042586666666666634,0.023090065203699887,0.0270533333333333,0.06912
pilot_test,film_mean_patch_aux,power_temperature_T0p85,DLinear,3,48548,0.21576888888888882,0.15517384220191144,0.12344,0.39492
pilot_test,film_mean_patch_aux,power_temperature_T0p85,ES,3,61900,0.2751111111111111,0.15153062636287734,0.1002266666666666,0.36736
pilot_test,film_mean_patch_aux,power_temperature_T0p85,NaiveForecaster,3,27492,0.12218666666666662,0.009427119272491333,0.1128133333333333,0.1316666666666666
pilot_test,film_mean_patch_aux,power_temperature_T0p85,PatchTST,3,77478,0.3443466666666666,0.014889083249146003,0.3272666666666666,0.3545866666666666
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,CrossFormer,3,36300,0.16133333333333327,0.19550553274353474,0.0460666666666666,0.3870666666666666
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,DLinear,3,27440,0.12195555555555548,0.020451222547899266,0.1019066666666666,0.1427866666666666
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,ES,3,62086,0.2759377777777778,0.14867426726958552,0.10432,0.36556
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,NaiveForecaster,3,27034,0.12015111111111106,0.024253920950672744,0.0927466666666666,0.1388533333333333
pilot_test,visual_cls_mean_concat,power_temperature_T0p85,PatchTST,3,72140,0.3206222222222222,0.02427677567217354,0.2946933333333333,0.3428133333333333
