sample_set,variant,calibration_method,temperature,entropy_alpha,seed_count,sample_count_per_seed,MAE_mean,MAE_std,MSE_mean,MSE_std,regret_to_oracle_mean,regret_to_oracle_std,oracle_label_accuracy_mean,oracle_label_accuracy_std,weight_entropy_mean,weight_entropy_std,normalized_weight_entropy_mean,normalized_weight_entropy_std,mean_max_weight_mean,mean_max_weight_std
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85,0.85,0.0,3,30000,0.30040384860781183,0.0010731850088433682,1.2144169001823597,0.06243761374537558,0.033672644975753264,0.001073185008843308,0.4679111111111111,0.1465579154893812,1.0534828640056302,0.01671296303038044,0.6545657063666106,0.010384347790778525,0.5443426569302877,0.007805516698177293
pilot_selection,cls_mean_concat_plus_aux,original_uncalibrated,1.0,0.0,3,30000,0.3006053011187164,0.0012871846117707133,1.2054006238127106,0.05804645120353489,0.03387409748665784,0.0012871846117707183,0.4679111111111111,0.1465579154893812,1.1181368329408068,0.01679310090304114,0.6947374759239681,0.01043414025064398,0.5131478309631348,0.006964409878164311
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85_entropy_alpha0p02,0.85,0.02,3,30000,0.3010271380777439,0.0011040721942501379,1.2099615122377194,0.06040637677804542,0.03429593444568527,0.0011040721942501032,0.4679111111111111,0.1465579154893812,1.0845569756551667,0.015563555737673157,0.6738731374948737,0.009670180885781941,0.5374557773272196,0.007649417107926774
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p7,0.7,0.0,3,30000,0.3010488679465139,0.000896241544008796,1.2250745645864345,0.06699470523137398,0.03431766431445527,0.0008962415440087743,0.4679111111111111,0.1465579154893812,0.9755039982432491,0.015669148190962035,0.606114712911109,0.009735789165836329,0.5815610289573669,0.009399103345815289
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1_entropy_alpha0p02,1.0,0.02,3,30000,0.30138753362898285,0.0013209401784450515,1.2015813288296584,0.05615450100780892,0.03465632999692423,0.0013209401784450518,0.4679111111111111,0.1465579154893812,1.144949914678433,0.015695269051738132,0.7113973803107573,0.009752018969157209,0.5068849126497904,0.0068251469244169595
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p15,1.15,0.0,3,30000,0.30147186295826817,0.0015044121314098742,1.1979090418395402,0.053725358553446796,0.034740659326209636,0.0015044121314098558,0.4679111111111111,0.1465579154893812,1.172623909786201,0.016322248947048267,0.7285922002500455,0.010141583481379961,0.48661189277966815,0.006439633661350103
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p7_entropy_alpha0p02,0.7,0.02,3,30000,0.3014791422253833,0.0009161792564975791,1.2199225127415705,0.06481292274572188,0.0347479385933247,0.0009161792564976732,0.4679111111111111,0.1465579154893812,1.0117091442221442,0.014529138033781424,0.628610234918627,0.009027461029427206,0.5739298065503439,0.009211156175711855
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85_entropy_alpha0p05,0.85,0.05,3,30000,0.3021364794941425,0.0011501373204516015,1.2037131688134248,0.057421682829885655,0.035405275862083835,0.0011501373204515616,0.4679111111111111,0.1465579154893812,1.124153600334697,0.01425467061383876,0.698475903698911,0.008856924833018346,0.5271254777908325,0.007415228036542358
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p7_entropy_alpha0p05,0.7,0.05,3,30000,0.30231784119857014,0.0009524816297733639,1.2126660839537104,0.061607292344456575,0.035586637566511536,0.0009524816297733205,0.4679111111111111,0.1465579154893812,1.057075863103061,0.013278150796414328,0.6567981622256854,0.00825017895616279,0.562482992808024,0.008929206121391168
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p15_entropy_alpha0p02,1.15,0.02,3,30000,0.3023839315625294,0.0015353845014868953,1.1946622668051867,0.05196643581172757,0.0356527279304708,0.0015353845014869092,0.4679111111111111,0.1465579154893812,1.1958751497015305,0.015305872760997973,0.7430390078812663,0.009510073450332389,0.48087965448697406,0.006310850202222165
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1_entropy_alpha0p05,1.0,0.05,3,30000,0.30271798760209845,0.0013685985520259386,1.1962521490785576,0.05337441668315735,0.03598678397003987,0.0013685985520259362,0.4679111111111111,0.1465579154893812,1.1797225374145048,0.014398032258785222,0.7330028255829406,0.008946000431299485,0.49749046564102173,0.00661620775545988
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p3,1.3,0.0,3,30000,0.3028440927937364,0.0016992798242713462,1.191770342305196,0.04942633052115719,0.03611288916167783,0.0016992798242713664,0.4679111111111111,0.1465579154893812,1.2190999313786257,0.015562940248465886,0.7574693760847658,0.009669798460835783,0.4637743035952249,0.006048752905163081
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p5,0.5,0.0,3,30000,0.30347233747157515,0.0007658497491221487,1.2417780472038347,0.07308242447157691,0.03674113383951663,0.0007658497491221842,0.4679111111111111,0.1465579154893812,0.8420803960872,0.013316568327252965,0.5232139677967724,0.008274049110172418,0.6443401773770651,0.01448948749944317
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p5_entropy_alpha0p02,0.5,0.02,3,30000,0.30360871113701376,0.000767667643825801,1.2356237831302437,0.07069391362088413,0.036877507504955165,0.000767667643825849,0.4679111111111111,0.1465579154893812,0.8870315454306835,0.012445467999566032,0.5511436872324851,0.007732804045074144,0.6354533632596334,0.01419969999948278
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p3_entropy_alpha0p02,1.3,0.02,3,30000,0.303857026494955,0.0017262180481774976,1.1890345865021426,0.04779804177765789,0.03712582286289646,0.0017262180481774731,0.4679111111111111,0.1465579154893812,1.2393681687559033,0.014638715309852331,0.7700627400292154,0.009095545219083819,0.45849883556365967,0.005927763863974011
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p15_entropy_alpha0p05,1.15,0.05,3,30000,0.30389154757525133,0.0015778112343373027,1.1901595705550998,0.049381967592453585,0.0371603439431927,0.0015778112343373095,0.4679111111111111,0.1465579154893812,1.226547063402238,0.014058918799993967,0.7620965393733136,0.008735297392573322,0.472281277179718,0.006117634252515442
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p5_entropy_alpha0p05,0.5,0.05,3,30000,0.30402282257762536,0.0007788269917979489,1.22691516274906,0.06718502395335677,0.03729161894556677,0.0007788269917979476,0.4679111111111111,0.1465579154893812,0.9422442025895296,0.011492753714915,0.5854492399551389,0.007140849377366405,0.622123122215271,0.01376504165210168
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p7_entropy_alpha0p1,0.7,0.1,3,30000,0.30418691369630807,0.001014595103985547,1.2018299547405324,0.05644322600726918,0.03745571006424957,0.0010145951039856125,0.4679111111111111,0.1465579154893812,1.1225296165143555,0.011603185093473719,0.6974668658181734,0.007209464250736524,0.5434048771858215,0.008459230349960637
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p85_entropy_alpha0p1,0.85,0.1,3,30000,0.30441135642884826,0.0012196263771161325,1.1944584515348655,0.05261279427436552,0.037680152796789664,0.0012196263771161468,0.4679111111111111,0.1465579154893812,1.1815986918191672,0.012470733605428271,0.7341685458571853,0.007748502448639205,0.5099083781242371,0.007024967648350532
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p5,1.5,0.0,3,30000,0.3052180290168965,0.0019115322925440368,1.1853821570311185,0.04379644567544291,0.03848682538483789,0.001911532292544049,0.4679111111111111,0.1465579154893812,1.2711970696401362,0.014356192473026446,0.7898391480772244,0.008920003910753002,0.4378880063692729,0.005617732217544144
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T0p5_entropy_alpha0p1,0.5,0.1,3,30000,0.3052341191172269,0.0008113412777017708,1.213795032608664,0.06153364942057452,0.0385029154851683,0.0008113412777017853,0.4679111111111111,0.1465579154893812,1.0213783688608853,0.01018439480258471,0.6346180619767813,0.0063279202781932045,0.5999061067899069,0.013040528288515067
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1_entropy_alpha0p1,1.0,0.1,3,30000,0.30531986887619755,0.001433865239867475,1.188436399648717,0.048895044562318156,0.03858866524413893,0.0014338652398674814,0.4679111111111111,0.1465579154893812,1.230487548940889,0.012606961071464395,0.7645449006976044,0.007833145332333952,0.4818330705165863,0.006268017332870722
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p3_entropy_alpha0p05,1.3,0.05,3,30000,0.3055022187105609,0.0017582314452962915,1.1852687173885592,0.045405823546127204,0.03877101507850226,0.0017582314452962244,0.4679111111111111,0.1465579154893812,1.266523176610179,0.013464187942389527,0.7869350950573173,0.008365770334082907,0.45058561364809674,0.005746307847877498
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p5_entropy_alpha0p02,1.5,0.02,3,30000,0.30632894420188345,0.0019292801237848266,1.1832393963337509,0.04233947441171879,0.0395977405698248,0.0019292801237848435,0.4679111111111111,0.1465579154893812,1.2882210126307616,0.013552454022799532,0.8004167185812511,0.00842061313337811,0.43313026428222656,0.005505435912296778
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p15_entropy_alpha0p1,1.15,0.1,3,30000,0.3067467086575373,0.0016294372029626992,1.1836350027787208,0.04521820070132491,0.04001550502547874,0.001629437202962653,0.4679111111111111,0.1465579154893812,1.2716369740205256,0.01231637129714446,0.7901124760366262,0.007652591753923214,0.4579506814479828,0.005795696879281787
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p5_entropy_alpha0p05,1.5,0.05,3,30000,0.3080984069529025,0.001948186528592086,1.1803274280677916,0.04019935808818156,0.04136720332084396,0.0019481865285920822,0.4679111111111111,0.1465579154893812,1.3114324394331296,0.012490096858353547,0.8148387889345359,0.007760533514128344,0.4259936014811198,0.005336869397622363
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p3_entropy_alpha0p1,1.3,0.1,3,30000,0.30854094606485666,0.0017935899502157784,1.1798929539863114,0.04155255535087053,0.041809742432798,0.0017935899502157732,0.4679111111111111,0.1465579154893812,1.306733460137046,0.011801391840725374,0.8119191489411065,0.007332617027069457,0.4373968839645386,0.005443873410060136
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T1p5_entropy_alpha0p1,1.5,0.1,3,30000,0.31129902192285464,0.001961494610208653,1.1762798851705125,0.03675336018606428,0.04456781829079607,0.00196149461020864,0.4679111111111111,0.1465579154893812,1.3461329769453652,0.010958255163948298,0.8363994451388838,0.006808746755179444,0.4140992263952891,0.005056004270081813
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T2,2.0,0.0,3,30000,0.31245919605754086,0.002201232985817361,1.1761497371394,0.0314331176795776,0.045727992425482235,0.0022012329858173488,0.4679111111111111,0.1465579154893812,1.3661923838887902,0.011315652365805272,0.8488630554393816,0.007030810122206785,0.38940803209940594,0.004737933254551604
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T2_entropy_alpha0p02,2.0,0.02,3,30000,0.3136830082458015,0.0021986216706256813,1.1751215934096895,0.030363031095996362,0.04695180461374287,0.0021986216706256804,0.4679111111111111,0.1465579154893812,1.3776848876639676,0.010750392494443832,0.8560037495204575,0.0066795944170253835,0.3856198688348134,0.004643171287248906
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T2_entropy_alpha0p05,2.0,0.05,3,30000,0.31558365274217226,0.002188177687701582,1.1738103767423391,0.02879186439404184,0.04885244911011363,0.0021881776877015324,0.4679111111111111,0.1465579154893812,1.3938141630614436,0.009958992737096491,0.8660254317940422,0.0061878701005836385,0.3799376388390859,0.004501041865322371
pilot_selection,cls_mean_concat_plus_aux,power_temperature_T2_entropy_alpha0p1,2.0,0.1,3,30000,0.31891088590101,0.002156181894969784,1.1722409560232054,0.026263843727431135,0.05217968226895143,0.0021561818949697845,0.4679111111111111,0.1465579154893812,1.4184183344353425,0.008770749303923141,0.8813128630045372,0.005449572944791903,0.37046724557876587,0.004264150476136152
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85,0.85,0.0,3,30000,0.3002237131836496,0.0011385739399706553,1.3156959195610727,0.1681497111799732,0.03349250955159103,0.0011385739399706653,0.4653777777777777,0.1479154650968411,1.0667785526169193,0.030556891220860645,0.662826782179831,0.01898606400705872,0.5359596610069275,0.014004258927710478
pilot_selection,film_cls_mean_concat_aux,original_uncalibrated,1.0,0.0,3,30000,0.30048561321685713,0.0008585229773999405,1.313161917051582,0.16812169513838282,0.033754409584798535,0.0008585229773999434,0.4653777777777777,0.1479154650968411,1.1294494032402218,0.02889325627891373,0.7017663710506558,0.01795238949927291,0.5056179662545522,0.013838942743331731
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p7,0.7,0.0,3,30000,0.30079781274100736,0.0014272524143164333,1.3194846995045166,0.16817754827252596,0.03406660910894873,0.0014272524143164153,0.4653777777777777,0.1479154650968411,0.9911631383642124,0.031742708914837825,0.6158442837134276,0.019722853966345523,0.5722116629282633,0.013726915350645843
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p85_entropy_alpha0p02,0.85,0.02,3,30000,0.3008474899847758,0.0010843625714029549,1.3074145659154326,0.16272383931113965,0.0341162863527172,0.001084362571402857,0.4653777777777777,0.1479154650968411,1.0971584372127419,0.028782219945279137,0.681702865787105,0.017883398746180338,0.5292404492696127,0.013724192474788479
pilot_selection,film_cls_mean_concat_aux,power_temperature_T0p7_entropy_alpha0p02,0.7,0.02,3,30000,0.3012361518160656,0.0013675624357877185,1.3108193043141305,0.16273810081982534,0.03450494818400703,0.0013675624357876368,0.4653777777777777,0.1479154650968411,1.0265286200448192,0.029841377642557388,0.6378180929591165,0.018541490424707013,0.5647674202919006,0.013452358666510336
pilot_selection,film_cls_mean_concat_aux,power_temperature_T1_entropy_alpha0p02,1.0,0.02,3,30000,0.3012625294580826,0.000819542382821911,1.305222121275165,0.1627120027777131,0.034531325826023966,0.0008195423828219043,0.4653777777777777,0.1479154650968411,1.1556970227132923,0.027257919930263923,0.7180749339783018,0.016936297896101734,0.49950562914212543,0.013562177101075944
pilot_selection,film_cls_mean_concat_aux,power_temperature_T1p15,1.15,0.0,3,30000,0.3013893059839334,0.0006585860791862132,1.311562484833341,0.16812829756157419,0.0346581023518748,0.0006585860791862302,0.4653777777777777,0.1479154650968411,1.1822594144015333,0.02710741404139682,0.7345790758796618,0.01684278332949152,0.47983455657958984,0.013459516440141229
