sample_set,variant,seed,method,selected_model,count,ratio
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_hard_top1,DLinear,11510,0.38366666666666666
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_hard_top1,ES,9859,0.32863333333333333
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_hard_top1,NaiveForecaster,2226,0.0742
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_hard_top1,PatchTST,5204,0.17346666666666666
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,CrossFormer,1201,0.04003333333333333
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,DLinear,11510,0.38366666666666666
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,ES,9859,0.32863333333333333
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,2226,0.0742
pilot_selection,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,PatchTST,5204,0.17346666666666666
pilot_test,spatial_panel_3view,16,spatial_panel_3view_hard_top1,CrossFormer,4176,0.05568
pilot_test,spatial_panel_3view,16,spatial_panel_3view_hard_top1,DLinear,10548,0.14064
pilot_test,spatial_panel_3view,16,spatial_panel_3view_hard_top1,ES,25327,0.33769333333333335
pilot_test,spatial_panel_3view,16,spatial_panel_3view_hard_top1,NaiveForecaster,9505,0.12673333333333334
pilot_test,spatial_panel_3view,16,spatial_panel_3view_hard_top1,PatchTST,25444,0.33925333333333335
pilot_test,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,CrossFormer,4176,0.05568
pilot_test,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,DLinear,10548,0.14064
pilot_test,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,ES,25327,0.33769333333333335
pilot_test,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,9505,0.12673333333333334
pilot_test,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,PatchTST,25444,0.33925333333333335
pilot_test,spatial_panel_3view,17,spatial_panel_3view_hard_top1,CrossFormer,6389,0.08518666666666666
pilot_test,spatial_panel_3view,17,spatial_panel_3view_hard_top1,DLinear,6695,0.08926666666666666
pilot_test,spatial_panel_3view,17,spatial_panel_3view_hard_top1,ES,13460,0.17946666666666666
pilot_test,spatial_panel_3view,17,spatial_panel_3view_hard_top1,NaiveForecaster,27156,0.36208
pilot_test,spatial_panel_3view,17,spatial_panel_3view_hard_top1,PatchTST,21300,0.284
pilot_test,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,CrossFormer,6389,0.08518666666666666
pilot_test,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,DLinear,6695,0.08926666666666666
pilot_test,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,ES,13460,0.17946666666666666
pilot_test,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,27156,0.36208
pilot_test,spatial_panel_3view,17,spatial_panel_3view_raw_soft_fusion,PatchTST,21300,0.284
pilot_test,spatial_panel_3view,18,spatial_panel_3view_hard_top1,CrossFormer,2777,0.037026666666666666
pilot_test,spatial_panel_3view,18,spatial_panel_3view_hard_top1,DLinear,7721,0.10294666666666667
pilot_test,spatial_panel_3view,18,spatial_panel_3view_hard_top1,ES,26807,0.35742666666666667
pilot_test,spatial_panel_3view,18,spatial_panel_3view_hard_top1,NaiveForecaster,11206,0.14941333333333334
pilot_test,spatial_panel_3view,18,spatial_panel_3view_hard_top1,PatchTST,26489,0.35318666666666665
pilot_test,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,CrossFormer,2777,0.037026666666666666
pilot_test,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,DLinear,7721,0.10294666666666667
pilot_test,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,ES,26807,0.35742666666666667
pilot_test,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,11206,0.14941333333333334
pilot_test,spatial_panel_3view,18,spatial_panel_3view_raw_soft_fusion,PatchTST,26489,0.35318666666666665
