layout_name,batch_start,shape,dtype,device,min,max,mean,std,finite_count,total_count,finite_ratio,in_range_0_1
line_difference_band,192,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.04708794876933098,0.1407923847436905,4816896,4816896,1.0,True
line_difference_band,224,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.056512948125600815,0.15944600105285645,4816896,4816896,1.0,True
line_difference_band,256,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.046883683651685715,0.13756123185157776,4816896,4816896,1.0,True
line_difference_band,288,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.05961781367659569,0.16087347269058228,4816896,4816896,1.0,True
fft_absolute_energy,0,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.2545681297779083,0.35034823417663574,4816896,4816896,1.0,True
fft_absolute_energy,32,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.3189467787742615,0.3752850294113159,4816896,4816896,1.0,True
fft_absolute_energy,64,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.22210052609443665,0.33655598759651184,4816896,4816896,1.0,True
fft_absolute_energy,96,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.2648757994174957,0.3443766236305237,4816896,4816896,1.0,True
fft_absolute_energy,128,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.3102322816848755,0.3689134418964386,4816896,4816896,1.0,True
fft_absolute_energy,160,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.31351444125175476,0.35594436526298523,4816896,4816896,1.0,True
fft_absolute_energy,192,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.26167115569114685,0.3555530607700348,4816896,4816896,1.0,True
fft_absolute_energy,224,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.30150550603866577,0.3722023665904999,4816896,4816896,1.0,True
fft_absolute_energy,256,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.24239759147167206,0.36236461997032166,4816896,4816896,1.0,True
fft_absolute_energy,288,"[32, 3, 224, 224]",torch.float32,cuda:0,0.0,1.0,0.3539908528327942,0.37729859352111816,4816896,4816896,1.0,True
top3fold_period_layout,0,"[32, 3, 224, 224]",torch.float32,cuda:0,0.15193171799182892,1.0,0.49819767475128174,0.06413406878709793,4816896,4816896,1.0,True
top3fold_period_layout,32,"[32, 3, 224, 224]",torch.float32,cuda:0,0.16837000846862793,1.0,0.49977827072143555,0.07168543338775635,4816896,4816896,1.0,True
top3fold_period_layout,64,"[32, 3, 224, 224]",torch.float32,cuda:0,0.18494267761707306,1.0,0.5013939142227173,0.05924059450626373,4816896,4816896,1.0,True
top3fold_period_layout,96,"[32, 3, 224, 224]",torch.float32,cuda:0,0.21564562618732452,1.0,0.5003189444541931,0.06044010445475578,4816896,4816896,1.0,True
top3fold_period_layout,128,"[32, 3, 224, 224]",torch.float32,cuda:0,0.29525643587112427,1.0,0.5001145601272583,0.07222326099872589,4816896,4816896,1.0,True
top3fold_period_layout,160,"[32, 3, 224, 224]",torch.float32,cuda:0,0.2810527980327606,1.0,0.499807745218277,0.07136349380016327,4816896,4816896,1.0,True
top3fold_period_layout,192,"[32, 3, 224, 224]",torch.float32,cuda:0,0.3035616874694824,1.0,0.5001271963119507,0.06440412998199463,4816896,4816896,1.0,True
top3fold_period_layout,224,"[32, 3, 224, 224]",torch.float32,cuda:0,0.056702423840761185,0.9795843362808228,0.50113445520401,0.07253918051719666,4816896,4816896,1.0,True
top3fold_period_layout,256,"[32, 3, 224, 224]",torch.float32,cuda:0,0.24594829976558685,1.0,0.5008566379547119,0.06287902593612671,4816896,4816896,1.0,True
top3fold_period_layout,288,"[32, 3, 224, 224]",torch.float32,cuda:0,0.008240985684096813,1.0,0.49617770314216614,0.07300948351621628,4816896,4816896,1.0,True
