seed,sample_set,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
16,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,30000,0.3518179815142231,1.6581406505430738,0.08508677788216452,0.3228666666666667,1.287225963382774,0.7997984597218692,0.41957801064550876
16,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,30000,0.3333450952323047,1.5492674778642725,0.06661389160024611,0.3228666666666667,1.287225963382774,0.7997984597218692,0.41957801064550876
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,20000,0.41750171808361336,1.5860572451935844,0.1120114752789369,0.2542,1.2435737500706454,0.7726758146201956,0.45063567775338886
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,20000,0.389615017992162,1.4651450911938624,0.08412477518748558,0.2542,1.2435737500706454,0.7726758146201956,0.45063567775338886
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,30000,0.3518626405299474,1.6711650177825976,0.08513143689788885,0.3213,1.2722207723085952,0.7904752103077398,0.4290675985152523
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,30000,0.33280747856729237,1.5455269063081547,0.0660762749352338,0.3213,1.2722207723085952,0.7904752103077398,0.4290675985152523
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,20000,0.4167970438352015,1.5859532074722031,0.111306801030525,0.25255,1.2246952579702934,0.7609459479664392,0.4600566080130637
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,20000,0.38871843627703495,1.461419216537903,0.08322819347235848,0.25255,1.2246952579702934,0.7609459479664392,0.4600566080130637
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,30000,0.35164778318775675,1.5167801317273724,0.08491657955569815,0.3249666666666667,1.2736899901885694,0.7913880867030474,0.4250880801896254
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,30000,0.332808572711066,1.4352289827654265,0.06607736907900745,0.3249666666666667,1.2736899901885694,0.7913880867030474,0.4250880801896254
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,20000,0.41887363622191043,1.6897876498929238,0.11338339341723394,0.2578,1.2248060076254652,0.761014760596188,0.458568687235564
18,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,20000,0.38953888445561896,1.5030834681707999,0.08404864165094253,0.2578,1.2248060076254652,0.761014760596188,0.458568687235564
