seed,sample_set,method,stratum_column,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
16,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_HOUR,24051,0.3350500710555824,1.7997795530943395,0.07328429447584178,0.35549457403018586,1.28629001045766,0.7992169194723927,0.42407946509460637
16,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_HOUR,24051,0.3178826007867134,1.704909706251699,0.056116824206972775,0.35549457403018586,1.28629001045766,0.7992169194723927,0.42407946509460637
16,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_MIN,5949,0.4196083688802962,1.085513781277568,0.1328026172510448,0.190956463271138,1.2910098940941401,0.8021495480627939,0.40137924094383687
16,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_MIN,5949,0.3958578627412839,0.9200270618370443,0.1090521111120325,0.190956463271138,1.2910098940941401,0.8021495480627939,0.40137924094383687
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_HOUR,15446,0.40238131786361847,1.8102090182183406,0.09849378088882839,0.27864819370710864,1.247916375933696,0.7753740397766309,0.45303788741419354
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_HOUR,15446,0.37245117198420613,1.6822970828124575,0.06856363500941606,0.27864819370710864,1.247916375933696,0.7753740397766309,0.45303788741419354
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_MIN,4554,0.4687862375825246,0.8257919210520869,0.15786002766137347,0.1712779973649539,1.2288446769304,0.7635241269244776,0.44248799869744043
16,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_MIN,4554,0.4478303815053125,0.7286212302933758,0.13690417158416138,0.1712779973649539,1.2288446769304,0.7635241269244776,0.44248799869744043
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_HOUR,24051,0.33486260871026563,1.8140680123947925,0.07309683213052506,0.3549124776516569,1.2702411139275838,0.7892451793971237,0.43369997009460876
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_HOUR,24051,0.3170940004005992,1.698833857115481,0.05532822382085862,0.3549124776516569,1.2702411139275838,0.7892451793971237,0.43369997009460876
17,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_MIN,5949,0.42059146307073864,1.0934275957927009,0.1337857114414873,0.18540931248949402,1.280224262596326,0.7954480584219157,0.41033954861525185
17,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_MIN,5949,0.3963349392139788,0.9257277007497396,0.1095291875847274,0.18540931248949402,1.280224262596326,0.7954480584219157,0.41033954861525185
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_HOUR,15446,0.4008324742318462,1.8092203039815962,0.09694493725705615,0.27806551858086237,1.2280209319698798,0.7630123054033389,0.4626278858494376
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_HOUR,15446,0.37124951652863153,1.6766066269048667,0.06736197955384148,0.27806551858086237,1.2280209319698798,0.7630123054033389,0.4626278858494376
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_MIN,4554,0.47094476937174634,0.8286884791709124,0.16001855945059523,0.16600790513833993,1.2134154247253195,0.7539373935153301,0.45133549306782184
17,diagnostic_balanced,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_MIN,4554,0.44796853167313483,0.7315587113714289,0.13704232175198372,0.16600790513833993,1.2134154247253195,0.7539373935153301,0.45133549306782184
18,pilot_selection,revin_aux_only_fusion_huber_kl_hard_top1,dataset_name,TEST_DATA_HOUR,24051,0.33481539372885866,1.621209933212065,0.07304961714911805,0.3578229595443017,1.27160385807922,0.7900918999454021,0.4300211506066394
18,pilot_selection,revin_aux_only_fusion_huber_kl_raw_soft_fusion,dataset_name,TEST_DATA_HOUR,24051,0.31723076760031915,1.5626411690646353,0.055464991020578544,0.3578229595443017,1.27160385807922,0.7900918999454021,0.4300211506066394
