metric_group,stratum_column,stratum_value,method_kind,system_name,display_name,sample_count,raw_soft_MAE,raw_soft_MSE,raw_soft_regret,hard_top1_MAE,hard_top1_MSE,hard_top1_regret,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight,MAE_std,MSE_std,source_file,round1_raw_soft_MAE,round2_raw_soft_MAE,delta_raw_soft_MAE_round2_minus_round1,round1_raw_soft_MSE,round2_raw_soft_MSE,delta_raw_soft_MSE_round2_minus_round1,round1_raw_soft_regret,round2_raw_soft_regret,delta_raw_soft_regret_round2_minus_round1,round1_hard_top1_MAE,round2_hard_top1_MAE,delta_hard_top1_MAE_round2_minus_round1,round1_oracle_label_accuracy,round2_oracle_label_accuracy,delta_oracle_label_accuracy_round2_minus_round1,round1_weight_entropy,round2_weight_entropy,delta_weight_entropy_round2_minus_round1,round1_mean_max_weight,round2_mean_max_weight,delta_mean_max_weight_round2_minus_round1,round1_high_error_rate_top5,round2_high_error_rate_top5,round1_high_regret_rate_top5,round2_high_regret_rate_top5,round1_selected_ratio_CrossFormer,round2_selected_ratio_CrossFormer,delta_selected_ratio_CrossFormer_round2_minus_round1,oracle_ratio_CrossFormer,round1_selected_ratio_DLinear,round2_selected_ratio_DLinear,delta_selected_ratio_DLinear_round2_minus_round1,oracle_ratio_DLinear,round1_selected_ratio_ES,round2_selected_ratio_ES,delta_selected_ratio_ES_round2_minus_round1,oracle_ratio_ES,round1_selected_ratio_NaiveForecaster,round2_selected_ratio_NaiveForecaster,delta_selected_ratio_NaiveForecaster_round2_minus_round1,oracle_ratio_NaiveForecaster,round1_selected_ratio_PatchTST,round2_selected_ratio_PatchTST,delta_selected_ratio_PatchTST_round2_minus_round1,oracle_ratio_PatchTST
strata,oracle_model,ES,,,,31097,,,,,,,,,,,,,,0.23284944900074422,0.23190335444403845,-0.0009460945567057732,432.0863933535202,432.05255562473235,-0.0338377287878302,0.04726178274502673,0.04631568818832094,-0.0009460945567057871,0.24364526577387002,0.24237546472574947,-0.0012698010481205502,0.522001050476466,0.5415634948708878,0.019562444394421785,1.433158271005678,1.4185463012305868,-0.014611969775091271,0.34205478927681665,0.3464837116481453,0.004428922371328636,0.027623243399684857,0.02739814129980384,0.04093642473550503,0.03894266327941602,0.02462188206793796,0.029713477184294304,0.0050915951163563455,0.0,0.2804450590089076,0.04895434715031461,-0.231490711858593,0.0,0.5220010504764662,0.5415634948708878,0.019562444394421674,1.0,0.042265599039564374,0.258781661682263,0.21651606264269865,0.0,0.13066640940712396,0.12098701911224019,-0.009679390294883766,0.0
strata,oracle_model,NaiveForecaster,,,,11038,,,,,,,,,,,,,,0.3695851662010294,0.3638453756626225,-0.005739790538406897,8.439754451320551,6.451201926692905,-1.9885525246276465,0.10658481912326198,0.10084502858485513,-0.005739790538406855,0.377925476065468,0.36956995755773925,-0.008355518507728754,0.5726882889412334,0.5717219303013831,-0.0009663586398502844,0.7247422543221012,0.6845581279436725,-0.04018412637842861,0.7130415912119312,0.7335134859820591,0.020471894770127896,0.033067584707374524,0.03279579633991665,0.05073382859213626,0.05381409675665882,0.022800024158965995,0.02787340701817962,0.005073382859213625,0.0,0.10406474602886996,0.09198526303074228,-0.01207948299812768,0.0,0.17137766503593646,0.18922510116567012,0.017847436129733663,0.0,0.5726882889412334,0.5717219303013831,-0.0009663586398502844,1.0,0.12906927583499425,0.11919429848402488,-0.009874977350969372,0.0
strata,oracle_model,PatchTST,,,,16016,,,,,,,,,,,,,,0.5856893688359113,0.5776267700314188,-0.008062598804492449,8.593963723103094,7.951185641698849,-0.642778081404245,0.08718438577816331,0.07912178697367081,-0.008062598804492505,0.5809450921410468,0.5776600031970252,-0.0032850889440216857,0.7472943722943722,0.7230894105894106,-0.02420496170496167,0.9038171078121049,0.8836279907958956,-0.02018911701620929,0.6389105443170036,0.6399687849409454,0.0010582406239418862,0.06705794205794206,0.06637112887112886,0.044642857142857144,0.042395104895104896,0.05636030636030636,0.083999333999334,0.02763902763902764,0.0,0.11082667332667333,0.10019147519147518,-0.010635198135198143,0.0,0.0653096903096903,0.07244838494838494,0.00713869463869464,0.0,0.020208957708957708,0.020271395271395272,6.243756243756379e-05,0.0,0.7472943722943723,0.7230894105894106,-0.02420496170496178,1.0
strata,dataset_name,TEST_DATA_HOUR,,,,7192,,,,,,,,,,,,,,0.28268875786909925,0.28060790821084947,-0.0020808496582497837,1.3359817831043692,1.1243752483124974,-0.21160653479187186,0.030686954252435956,0.0286061045941862,-0.002080849658249756,0.30346455472432937,0.3033443779892574,-0.00012017673507197513,0.5665554319614386,0.5591397849462365,-0.0074156470152021425,1.1306862689826243,1.1473960683374114,0.016709799354787114,0.5037143569077756,0.49570837199361983,-0.008005984914155717,0.0182146829810901,0.0182146829810901,0.01918798665183537,0.020022246941045607,0.05075083426028921,0.05204857248794957,0.0012977382276603625,0.09899888765294772,0.5938542825361512,0.4862810530218762,-0.10757322951427506,0.3549777530589544,0.2277994067482388,0.2396180941787171,0.011818687430478314,0.32661290322580644,0.03439006303299963,0.1267612161661105,0.09237115313311087,0.06743604004449388,0.0932054134223211,0.09529106414534669,0.002085650723025592,0.15197441601779754
strata,dataset_name,TEST_DATA_MIN,,,,67808,,,,,,,,,,,,,,0.4321569133346238,0.4276594140369894,-0.0044974992976343775,202.659575579052,202.03738368498804,-0.6221918940639455,0.08250831244171969,0.07801081314408526,-0.004497499297634433,0.4454677910836757,0.44175092790615544,-0.0037168631775202354,0.5101512112631744,0.5177658486707566,0.00761463740758217,1.1213352549536793,1.100521163893373,-0.020814091060306295,0.5156527046031139,0.5205422023400478,0.004889497736933923,0.05337128362435111,0.05337128362435111,0.05326805096743747,0.05317956583294007,0.04172074091552619,0.06006665880132138,0.01834591788579519,0.09888213780084945,0.17566757118137485,0.07114204813591317,-0.10452552304546169,0.10144820670127419,0.2801291882963662,0.29703476482617586,0.016905576529809674,0.42396177442189714,0.13149874154475383,0.2218617272298254,0.09036298568507156,0.15563060405851817,0.3709837580619789,0.3498948010067642,-0.02108895705521474,0.22007727701746108
strata,group_name,HIGH_HIGH_HIGH,,,,2305,,,,,,,,,,,,,,0.10495932063176874,0.10405051669807742,-0.0009088039336913184,0.09932795073690356,0.09756517496918583,-0.0017627757677177308,0.012972763631587428,0.012063959697896115,-0.0009088039336913132,0.11689170227410128,0.11878511111150325,0.0018934088374019664,0.5798987707881417,0.5736804049168475,-0.006218365871294207,1.3935705471152386,1.4031316573342374,0.009561110218998747,0.3547142833255808,0.3492711516949721,-0.005443131630608722,0.005206073752711497,0.005639913232104121,0.009978308026030369,0.00911062906724512,0.01200289226319595,0.01388286334056399,0.0018799710773680402,0.06594360086767896,0.4856109906001446,0.2727404193781634,-0.21287057122198122,0.15140997830802602,0.4279103398409255,0.4344179320318149,0.006507592190889366,0.6464208242950108,0.011858279103398409,0.2195227765726681,0.2076644974692697,0.025596529284164858,0.0626174981923355,0.05943600867678959,-0.003181489515545914,0.11062906724511931
strata,group_name,HIGH_HIGH_LOW,,,,2383,,,,,,,,,,,,,,0.5495821156469005,0.5336369080485014,-0.015945207598399125,28.469020522468863,23.666110048720732,-4.802910473748131,0.12447879701558634,0.1085335894171872,-0.01594520759839914,0.5693083547934175,0.5648106906588463,-0.0044976641345712,0.5195132186319765,0.5204923765561618,0.0009791579241852366,1.0723387319684967,1.077004457178268,0.004665725209771265,0.541551008585,0.5394622457537689,-0.0020887628312311612,0.043642467477968946,0.045740663029794376,0.028115820394460762,0.03441040704993705,0.046020422436704435,0.06126731011330256,0.015246887676598125,0.08812421317666806,0.5393761365225905,0.45558819415302837,-0.08378794236956216,0.33067561896768777,0.1731710728773255,0.19834941949923066,0.025178346621905157,0.25346202266051193,0.12029654497132466,0.16827528325639948,0.04797873828507482,0.16407889215274862,0.12113582319205483,0.11651979297803888,-0.004616030214015951,0.16365925304238355
strata,group_name,HIGH_LOW_HIGH,,,,15006,,,,,,,,,,,,,,0.356968139340621,0.3517844252362391,-0.005183714104381898,7.144235897313437,6.450135583401475,-0.6941003139119619,0.06311043789832711,0.057926723793945235,-0.005183714104381877,0.37112480821362454,0.36525696401025326,-0.005867844203371275,0.575214358700964,0.5809231862810432,0.005708827580079179,1.028579784681849,1.0194053284572735,-0.009174456224575467,0.5612438622880471,0.5548770196126479,-0.00636684267539922,0.02379048380647741,0.023923763827802213,0.040983606557377046,0.038984406237505,0.05044648807143809,0.07541427873295127,0.02496779066151318,0.13168066106890577,0.10913412412812652,0.006597361055577769,-0.10253676307254875,0.08643209382913501,0.2170909414012173,0.22879736994091252,0.011706428539695224,0.373583899773424,0.012661602025856325,0.11060020436269936,0.09793860233684304,0.034852725576436094,0.6106668443733617,0.5785907859078591,-0.032076058465502655,0.37345061975209914
strata,group_name,HIGH_LOW_LOW,,,,13589,,,,,,,,,,,,,,0.7705252099285337,0.7634449461286273,-0.007080263799906339,995.325522748741,994.0258790799527,-1.2996436687883488,0.15247566549144287,0.14539540169153647,-0.007080263799906394,0.7952150495610681,0.7907519071882765,-0.004463142372791662,0.3735374199720362,0.3870777835013614,0.013540363529325194,1.0991242464891045,1.0767761833307523,-0.02234806315835214,0.5442101518098164,0.5489734302270748,0.004763278417258432,0.11141364338803444,0.11141364338803444,0.09640150121421738,0.09632791228199279,0.057595604287781786,0.08151200726077465,0.023916402972992863,0.14379277356685555,0.15740672602840533,0.11342507420217332,-0.04398165182623201,0.16138052836853337,0.18461010130743002,0.21343243309539578,0.028822331787965755,0.2755905511811024,0.07751367527657174,0.09929599921505139,0.021782323938479647,0.1298108764441828,0.5228738930998111,0.49233448622660486,-0.030539406873206276,0.2894252704393259
strata,group_name,LOW_HIGH_HIGH,,,,7600,,,,,,,,,,,,,,0.2790070311878495,0.2785167810409831,-0.0004902501468663778,0.5528417400702083,0.5306819544382666,-0.022159785631941653,0.039940068726978195,0.03944981858011174,-0.0004902501468664541,0.2845690791929683,0.2843712968733285,-0.0001977823196397943,0.672938596491228,0.6764035087719299,0.003464912280701893,0.7934328237771684,0.783263456048203,-0.010169367728965373,0.6683095740330847,0.6759364130295682,0.0076268389964835315,0.021052631578947368,0.021052631578947368,0.025,0.026578947368421053,0.019210526315789473,0.021710526315789475,0.0025000000000000022,0.03671052631578947,0.23469298245614034,0.1699561403508772,-0.06473684210526315,0.1792105263157895,0.18592105263157896,0.2049561403508772,0.019035087719298238,0.24657894736842106,0.5125,0.5575,0.04500000000000004,0.4861842105263158,0.047675438596491225,0.04587719298245614,-0.0017982456140350836,0.05131578947368421
