sample_set,variant,stratum_column,stratum_value,sample_count,MAE_mean,MAE_std,MSE_mean,regret_mean,oracle_label_accuracy_mean,mean_max_weight_mean,MAE_delta_vs_baseline,MSE_delta_vs_baseline,regret_delta_vs_baseline
round2_diagnostic_balanced_small,film_global_panel_mean_aux,oracle_model,CrossFormer,1000.0,0.49188478974594424,0.004494711375562004,0.7351558493041397,0.05337400403727463,0.12333333333333334,0.5748408887286981,0.009109026569950718,0.02609267584362085,0.009109026569950697
round2_diagnostic_balanced_small,film_global_panel_mean_aux,oracle_model,DLinear,1000.0,0.3719566551058863,0.0015069055225497125,1.0215396182526868,0.019498505934917632,0.7959999999999999,0.6753622672110796,-0.005704368600311371,-0.015025766905639282,-0.005704368600311368
round2_diagnostic_balanced_small,film_global_panel_mean_aux,oracle_model,ES,1000.0,0.11084982151152016,0.0008256837388093557,0.2070644774769335,0.037045048119189766,0.307,0.3479909234692653,-0.0024309423116889717,-0.011270836846821397,-0.002430942311688937
round2_diagnostic_balanced_small,film_global_panel_mean_aux,oracle_model,PatchTST,1000.0,0.5062679196175498,0.01351106727106888,11.022375732726454,0.11947686853872914,0.3586666666666667,0.622887436290582,0.0028285790242564834,-2.5167209816548386,0.0028285790242564834
round2_diagnostic_balanced_small,film_mean_patch_aux,oracle_model,CrossFormer,1000.0,0.4827757631759935,0.0029621296560093215,0.7090631734605188,0.044264977467323934,0.18999999999999997,0.5433831769873699,0.0,0.0,0.0
round2_diagnostic_balanced_small,film_mean_patch_aux,oracle_model,DLinear,1000.0,0.3776610237061977,0.004622165435365026,1.036565385158326,0.025202874535229,0.739,0.614875450566411,0.0,0.0,0.0
round2_diagnostic_balanced_small,film_mean_patch_aux,oracle_model,ES,1000.0,0.11328076382320913,0.0037814631415000366,0.2183353143237549,0.0394759904308787,0.551,0.3542790945818027,0.0,0.0,0.0
round2_diagnostic_balanced_small,film_mean_patch_aux,oracle_model,PatchTST,1000.0,0.5034393405932933,0.014107590882182828,13.539096714381293,0.11664828951447266,0.4093333333333333,0.5809748166898886,0.0,0.0,0.0
round2_diagnostic_balanced_small,film_panel_mean_aux,oracle_model,CrossFormer,1000.0,0.48272398476644107,0.003243031180498301,0.7055832280707093,0.04421319905777147,0.19199999999999998,0.5546859394013882,-5.177840955244983e-05,-0.003479945389809558,-5.177840955246371e-05
round2_diagnostic_balanced_small,film_panel_mean_aux,oracle_model,DLinear,1000.0,0.3740965746839453,0.0031139852525264577,1.0026272669309257,0.021638425512976598,0.753,0.6356280332903067,-0.0035644490222523917,-0.03393811822740034,-0.003564449022252402
round2_diagnostic_balanced_small,film_panel_mean_aux,oracle_model,ES,1000.0,0.110910604616986,0.0006782602865881073,0.20439138630207795,0.037105831224655605,0.553,0.3221951587597529,-0.0023701592062231325,-0.013943928021676932,-0.0023701592062230978
