row_type,tail_name,tail_basis_system,evaluated_system,tail_metric,quantile,threshold,sample_count,tail_overlap_count,tail_union_count,tail_overlap_jaccard,mean_soft_MAE,mean_soft_MSE,mean_regret,mean_hard_top1_MAE,oracle_label_accuracy,weight_entropy,mean_max_weight,category,count,ratio
selected_model_distribution,top_1pct_soft_MAE,round2_spatial_panel_3view,round2_spatial_panel_3view,soft_fusion_mae,0.99,2.1558687281608573,750,658,842,0.7814726840855107,,,,,,,,PatchTST,326,0.43466666666666665
summary,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,2.6994703062189953,3660.2039864495955,0.7004495120595009,2.7411405456430384,0.2670222222222222,1.0408158549663848,0.5762854734804896,,,
summary,top_5pct_soft_MAE,round1_film_mean_patch_aux,round2_spatial_panel_3view,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,2.5924843495190144,3648.369533278576,0.5934635553595202,2.639534873279264,0.30275555555555556,0.9913192002247899,0.5913237935370869,,,
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,719,0.19173333333333334
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,733,0.19546666666666668
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,ES,859,0.22906666666666667
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,NaiveForecaster,365,0.09733333333333333
oracle_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,PatchTST,1074,0.2864
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,CrossFormer,215,0.05733333333333333
selected_model_distribution,top_5pct_soft_MAE,round1_film_mean_patch_aux,round1_film_mean_patch_aux,soft_fusion_mae,0.95,1.1780631144841518,3750,3372,4128,0.8168604651162791,,,,,,,,DLinear,495,0.132
