split,variant,role,MAE_mean,MAE_delta_vs_baseline,MSE_mean,MSE_delta_vs_baseline,regret_to_oracle_mean,regret_delta_vs_baseline,MAE_std,oracle_label_accuracy_mean,weight_entropy_mean,mean_max_weight_mean
selection,film_mean_patch_aux,baseline global mean_patch,0.3103845674254725,0.0,3.3291987709968374,0.0,0.0469348332014136,0.0,0.0081985388628672,0.5379999999999999,1.135331719422296,0.5150047407438357
selection,film_global_panel_mean_aux,global + panel concat,0.3109621874349226,0.0005776200094501083,3.544772881908361,0.21557411091152368,0.0475124532108636,0.0005776200094499973,0.0057124420754229,0.4574666666666667,1.0846032508708856,0.542974810970823
selection,film_panel_mean_aux,panel-only concat,0.3121528315691821,0.0017682641437096192,3.5806400280294035,0.25144125703256615,0.0487030973451231,0.0017682641437094943,0.0054470163067519,0.5385333333333334,1.1167678584648142,0.5155100682079792
diagnostic,film_panel_mean_aux,panel-only concat,0.3684451901144145,-0.002070597794833484,2.6858997637836493,-0.7022820430792165,0.0623516346511734,-0.002070597794833491,0.0026786583927713,0.4519333333333333,1.0356278669131456,0.55999031594793
diagnostic,film_global_panel_mean_aux,global + panel concat,0.3693044645274068,-0.0012113233818412117,2.884643639962954,-0.5035381668999119,0.0632109090641656,-0.001211323381841295,0.0024993422054161,0.3938666666666666,1.007850167177286,0.5827708654731513
diagnostic,film_mean_patch_aux,baseline global mean_patch,0.370515787909248,0.0,3.3881818068628657,0.0,0.0644222324460069,0.0,0.0055741770383308,0.4498,1.0547582887193672,0.5553040219515563
test_small,film_global_panel_mean_aux,global + panel concat,0.3968632806261334,-0.0017350810854723786,3.4670992822098525,-0.017002338163151,0.0635143584277745,-0.0017350810854725035,0.0005742128465101,0.4312666666666667,1.0730601473164711,0.5509757574697335
test_small,film_panel_mean_aux,panel-only concat,0.3970857505575539,-0.0015126111540518794,3.4711198757841983,-0.012981744588805189,0.063736828359195,-0.0015126111540520043,0.0006177757730199,0.5228666666666667,1.081380384524425,0.5416714114069938
test_small,film_mean_patch_aux,baseline global mean_patch,0.3985983617116058,0.0,3.4841016203730035,0.0,0.065249439513247,0.0,0.0011611003566102,0.5186666666666667,1.0869359855085974,0.5490780872642994
