sample_set,layout_name,seed,sample_count,entropy,mean_max_weight,raw_soft_vs_hard_top1_MAE_gap,selected_ratio_DLinear,selected_ratio_PatchTST,selected_ratio_CrossFormer,selected_ratio_ES,selected_ratio_NaiveForecaster
staged_diagnostic,spatial_panel_3view,16,262144,1.1549543844541428,0.49644702034532884,-0.018426116426271844,0.41152191162109375,0.41278839111328125,0.047298431396484375,0.0534210205078125,0.07497024536132812
staged_selection,spatial_panel_3view,16,262144,1.145170020853503,0.5029305896064216,-0.017336274620139702,0.4163551330566406,0.400146484375,0.04973602294921875,0.056613922119140625,0.0771484375
staged_test,spatial_panel_3view,16,262144,1.1357385920651168,0.50517619962352,-0.014818373573843968,0.10301971435546875,0.6156158447265625,0.0751190185546875,0.06359481811523438,0.14265060424804688
staged_diagnostic,current_rgb_3view,16,262144,1.1534559783122282,0.491543240942633,-0.018221197594496585,0.6527099609375,0.19987869262695312,0.051464080810546875,0.027988433837890625,0.06795883178710938
staged_selection,current_rgb_3view,16,262144,1.1421795004604849,0.49921671734148276,-0.01691086488920035,0.6513748168945312,0.19200897216796875,0.055446624755859375,0.030796051025390625,0.07037353515625
staged_test,current_rgb_3view,16,262144,1.124793997149833,0.5126848581891181,-0.014829768507714058,0.37305450439453125,0.4075355529785156,0.05774688720703125,0.024932861328125,0.13673019409179688
