sample_set,variant,seed,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
staged_selection,spatial_panel_3view,16,spatial_panel_3view_hard_top1,262144,0.3171941197490163,1.2691075842852646,0.0511516472985719,0.3836212158203125,1.145170020853503,0.7115341268802278,0.5029305896064216
staged_selection,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,262144,0.2998578451288766,1.186940034708284,0.0338153726784321,0.3836212158203125,1.145170020853503,0.7115341268802278,0.5029305896064216
staged_diagnostic,spatial_panel_3view,16,spatial_panel_3view_hard_top1,262144,0.3101520522354272,1.102302663647193,0.0502352350754652,0.3756637573242187,1.1549543844541428,0.7176134936819603,0.4964470203453288
staged_diagnostic,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,262144,0.2917259358091553,1.0285533112683347,0.0318091186491934,0.3756637573242187,1.1549543844541428,0.7176134936819603,0.4964470203453288
staged_test,spatial_panel_3view,16,spatial_panel_3view_hard_top1,262144,0.4276299487060525,175.8899882919069,0.086512056950048,0.3344612121582031,1.1357385920651168,0.705674050853865,0.50517619962352
staged_test,spatial_panel_3view,16,spatial_panel_3view_raw_soft_fusion,262144,0.4128115751322085,175.72004332811815,0.0716936833762041,0.3344612121582031,1.1357385920651168,0.705674050853865,0.50517619962352
staged_selection,current_rgb_3view,16,current_rgb_3view_hard_top1,262144,0.3219435761194759,1.524312765509792,0.0559011036690313,0.3816261291503906,1.1421795004604849,0.7096760071755623,0.4992167173414827
staged_selection,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,262144,0.3050327112302755,1.4411778761529446,0.038990238779831,0.3816261291503906,1.1421795004604849,0.7096760071755623,0.4992167173414827
staged_diagnostic,current_rgb_3view,16,current_rgb_3view_hard_top1,262144,0.3139325980438954,1.116211469156506,0.0540157808839334,0.3734474182128906,1.1534559783122282,0.7166824764525173,0.491543240942633
staged_diagnostic,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,262144,0.2957114004493988,1.04693128337837,0.0357945832894369,0.3734474182128906,1.1534559783122282,0.7166824764525173,0.491543240942633
staged_test,current_rgb_3view,16,current_rgb_3view_hard_top1,262144,0.435679904279532,175.7467242033194,0.0945620125235275,0.3230552673339844,1.124793997149833,0.6988737863924257,0.5126848581891181
staged_test,current_rgb_3view,16,current_rgb_3view_raw_soft_fusion,262144,0.4208501357718179,175.64270108482327,0.0797322440158135,0.3230552673339844,1.124793997149833,0.6988737863924257,0.5126848581891181
