variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,stratum_column,stratum_kind,stratum_value,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight,dataset_name,oracle_model,error_gap_quantile,cluster,group_name,forecastability_cat,season_strength_cat,trend_strength_cat,cv_cat,missing_ratio_cat
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|20|LOW_HIGH_LOW|low|moderate|weak|highly_variable|complete,23,0.5189775406666424,1.3193425785993105,0.08177389917166335,0.17391304347826086,0.622526755799418,0.3867976156913716,0.75284613215405,TEST_DATA_MIN,DLinear,q3,20.0,LOW_HIGH_LOW,low,moderate,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|20|LOW_HIGH_LOW|low|moderate|weak|highly_variable|complete,268,0.09049619320795671,0.15702059905648713,0.02330358035266465,0.026119402985074626,1.465999195240994,0.910876489390355,0.3307309462063348,TEST_DATA_MIN,ES,q3,20.0,LOW_HIGH_LOW,low,moderate,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|20|LOW_HIGH_LOW|low|moderate|weak|highly_variable|complete,14,0.4366829789110592,0.4795057852918814,0.07230110925489237,0.2857142857142857,1.1623633322971207,0.722216933965683,0.500953557235854,TEST_DATA_MIN,PatchTST,q3,20.0,LOW_HIGH_LOW,low,moderate,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|20|LOW_HIGH_LOW|low|moderate|weak|highly_variable|complete,270,0.16356692031301834,0.48101425365732414,0.0018240464092405062,0.9481481481481482,0.4059547937164704,0.2522338908062213,0.8606511197708271,TEST_DATA_MIN,NaiveForecaster,q3,20.0,LOW_HIGH_LOW,low,moderate,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|20|LOW_HIGH_LOW|low|moderate|weak|highly_variable|complete,11,0.587478952651674,1.0077446927739815,0.16743250919336622,0.0,1.0104779411445965,0.6278452324596319,0.5645041872154583,TEST_DATA_MIN,CrossFormer,q3,20.0,LOW_HIGH_LOW,low,moderate,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|ES|q3|26|LOW_LOW_LOW|low|weak|weak|highly_variable|complete,285,0.14651136933989295,0.42349558746320304,0.05389053221555064,0.014035087719298246,1.3128493050734202,0.8157191154334629,0.4209125074378231,TEST_DATA_MIN,ES,q3,26.0,LOW_LOW_LOW,low,weak,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|CrossFormer|q3|26|LOW_LOW_LOW|low|weak|weak|highly_variable|complete,54,0.5629404739787182,1.0402839513251954,0.08912823369933497,0.0,1.1218828603073403,0.6970649985251604,0.5243381421875071,TEST_DATA_MIN,CrossFormer,q3,26.0,LOW_LOW_LOW,low,weak,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|PatchTST|q3|26|LOW_LOW_LOW|low|weak|weak|highly_variable|complete,62,0.6725500734342683,1.6776636395229763,0.16628730495370203,0.7580645161290323,1.100077502189144,0.683516571358327,0.5409255340214698,TEST_DATA_MIN,PatchTST,q3,26.0,LOW_LOW_LOW,low,weak,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|NaiveForecaster|q3|26|LOW_LOW_LOW|low|weak|weak|highly_variable|complete,88,0.2260166335406459,0.33639244522289985,0.05935329916378993,0.4318181818181818,0.9826144458387386,0.6105326674878597,0.5911067631095648,TEST_DATA_MIN,NaiveForecaster,q3,26.0,LOW_LOW_LOW,low,weak,weak,highly_variable,complete
current_rgb_3view,mean_patch,768,staged_selection,hard_top1,16,current_rgb_3view_hard_top1,tsf_cell,tsf_cell,TEST_DATA_MIN|DLinear|q3|26|LOW_LOW_LOW|low|weak|weak|highly_variable|complete,27,0.6291897690130605,1.1842409297823906,0.13312219048815743,0.1111111111111111,1.221712194107197,0.7590924512456965,0.4868893833072097,TEST_DATA_MIN,DLinear,q3,26.0,LOW_LOW_LOW,low,weak,weak,highly_variable,complete
