variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
spatial_panel_3view,mean_patch,768,staged_selection,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,PatchTST,104896,0.400146484375
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,CrossFormer,15138,0.05774688720703125
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,DLinear,97794,0.37305450439453125
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,ES,6536,0.024932861328125
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,NaiveForecaster,35843,0.13673019409179688
current_rgb_3view,mean_patch,768,staged_test,hard_top1,16,current_rgb_3view_hard_top1,PatchTST,106833,0.4075355529785156
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,CrossFormer,15138,0.05774688720703125
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,DLinear,97794,0.37305450439453125
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,ES,6536,0.024932861328125
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,NaiveForecaster,35843,0.13673019409179688
current_rgb_3view,mean_patch,768,staged_test,raw_soft_fusion,16,current_rgb_3view_raw_soft_fusion,PatchTST,106833,0.4075355529785156
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,CrossFormer,19692,0.0751190185546875
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,DLinear,27006,0.10301971435546875
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,ES,16671,0.06359481811523438
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,NaiveForecaster,37395,0.14265060424804688
spatial_panel_3view,mean_patch,768,staged_test,hard_top1,16,spatial_panel_3view_hard_top1,PatchTST,161380,0.6156158447265625
spatial_panel_3view,mean_patch,768,staged_test,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,CrossFormer,19692,0.0751190185546875
spatial_panel_3view,mean_patch,768,staged_test,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,DLinear,27006,0.10301971435546875
spatial_panel_3view,mean_patch,768,staged_test,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,ES,16671,0.06359481811523438
spatial_panel_3view,mean_patch,768,staged_test,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,NaiveForecaster,37395,0.14265060424804688
spatial_panel_3view,mean_patch,768,staged_test,raw_soft_fusion,16,spatial_panel_3view_raw_soft_fusion,PatchTST,161380,0.6156158447265625
