delta_name,sample_set,method_kind,left_variant,right_variant,left_MAE_mean,right_MAE_mean,delta_MAE_mean,left_MSE_mean,right_MSE_mean,delta_MSE_mean,status
spatial_panel_3view - current_rgb_3view,round2_selection_small,raw_soft_fusion,spatial_panel_3view,current_rgb_3view,0.31038456742547255,0.3161953106817789,-0.005810743256306372,3.3291987709968374,3.5454943449341627,-0.21629557393732535,ok
line_only - current_rgb_3view,round2_selection_small,raw_soft_fusion,line_only,current_rgb_3view,0.32230388136717614,0.3161953106817789,0.006108570685397219,3.9561745396246857,3.5454943449341627,0.41068019469052297,ok
line_difference_band - line_only,round2_selection_small,raw_soft_fusion,line_difference_band,line_only,0.3230073270507075,0.32230388136717614,0.0007034456835313674,3.9556269074291723,3.9561745396246857,-0.0005476321955133479,ok
line_difference_band - current_rgb_3view,round2_selection_small,raw_soft_fusion,line_difference_band,current_rgb_3view,0.3230073270507075,0.3161953106817789,0.006812016368928586,3.9556269074291723,3.5454943449341627,0.4101325624950096,ok
fft_absolute_energy - current_rgb_3view,round2_selection_small,raw_soft_fusion,fft_absolute_energy,current_rgb_3view,0.32210881651106366,0.3161953106817789,0.0059135058292847376,3.651777034061103,3.5454943449341627,0.10628268912694017,ok
top3fold_period_layout - current_rgb_3view,round2_selection_small,raw_soft_fusion,top3fold_period_layout,current_rgb_3view,0.32000450959423565,0.3161953106817789,0.003809198912456735,3.9537522662051487,3.5454943449341627,0.40825792127098604,ok
top3fold_period_layout - fft_absolute_energy,round2_selection_small,raw_soft_fusion,top3fold_period_layout,fft_absolute_energy,0.32000450959423565,0.32210881651106366,-0.0021043069168280026,3.9537522662051487,3.651777034061103,0.30197523214404587,ok
spatial_panel_3view - film_mean_patch_aux,round2_selection_small,raw_soft_fusion,spatial_panel_3view,film_mean_patch_aux,0.31038456742547255,0.3003931976794061,0.009991369746066459,3.3291987709968374,1.28987162021779,2.039327150779047,ok
spatial_panel_3view - Round0 TimeFuse,round2_selection_small,raw_soft_fusion,spatial_panel_3view,Round0 TimeFuse,0.31038456742547255,0.3175300871360582,-0.007145519710585635,3.3291987709968374,1.370166538406871,1.9590322325899663,ok
