sample_set,variant,seed,method,sample_count,MAE,MSE,regret_to_oracle,oracle_label_accuracy,weight_entropy,normalized_weight_entropy,mean_max_weight
pilot_selection,visual_cls_only,16,visual_cls_only_hard_top1,30000,0.3204203011170943,1.2720296261441473,0.05368909748503574,0.3748666666666667,1.1520305679826763,0.7157968267612663,0.49909601085335015
pilot_selection,visual_cls_only,16,visual_cls_only_raw_soft_fusion,30000,0.30163302929305047,1.1704887879657977,0.03490182566099189,0.3748666666666667,1.1520305679826763,0.7157968267612663,0.49909601085335015
diagnostic_balanced,visual_cls_only,16,visual_cls_only_hard_top1,20000,0.377321065400305,1.4051853759114759,0.07183082259562855,0.34095,1.067485783632868,0.6632661986390711,0.5449420806594193
diagnostic_balanced,visual_cls_only,16,visual_cls_only_raw_soft_fusion,20000,0.3498817129725364,1.305742741916391,0.04439147016785994,0.34095,1.067485783632868,0.6632661986390711,0.5449420806594193
pilot_selection,visual_cls_only,17,visual_cls_only_hard_top1,30000,0.3209729670667258,1.237218861847324,0.05424176343466721,0.3702666666666667,1.1143278321627528,0.6923707977114419,0.5134492108166218
pilot_selection,visual_cls_only,17,visual_cls_only_raw_soft_fusion,30000,0.3034204993549624,1.1448191509781571,0.03668929572290385,0.3702666666666667,1.1143278321627528,0.6923707977114419,0.5134492108166218
diagnostic_balanced,visual_cls_only,17,visual_cls_only_hard_top1,20000,0.3790311646990179,1.4754090918278968,0.07354092189434143,0.3266,1.0296192104597808,0.6397383729340247,0.5581282839633525
diagnostic_balanced,visual_cls_only,17,visual_cls_only_raw_soft_fusion,20000,0.3537217461210051,1.4013006185538892,0.048231503316328646,0.3266,1.0296192104597808,0.6397383729340247,0.5581282839633525
pilot_selection,visual_cls_only,18,visual_cls_only_hard_top1,30000,0.3199585227420176,1.5844481265414943,0.053227319109959,0.3832333333333333,1.1173681215200884,0.6942598343356823,0.5138326009154319
pilot_selection,visual_cls_only,18,visual_cls_only_raw_soft_fusion,30000,0.3010900397924529,1.3462339841629694,0.034358836160394354,0.3832333333333333,1.1173681215200884,0.6942598343356823,0.5138326009154319
diagnostic_balanced,visual_cls_only,18,visual_cls_only_hard_top1,20000,0.36842446031297016,1.4669457126526821,0.06293421750829369,0.38285,1.0342361656988972,0.6426070476256777,0.5566054824709892
diagnostic_balanced,visual_cls_only,18,visual_cls_only_raw_soft_fusion,20000,0.34432594606286876,1.4018262785313857,0.03883570325819228,0.38285,1.0342361656988972,0.6426070476256777,0.5566054824709892
pilot_selection,visual_mean_patch_only,16,visual_mean_patch_only_hard_top1,30000,0.31846282303332735,1.2563962242786455,0.05173161940126879,0.3833666666666667,1.1547958014983994,0.717514958610991,0.4943309788862864
