probe_kind,model_name,sample_set,target_name,sample_count,class_count,accuracy,balanced_accuracy,macro_f1,cross_entropy,top2_recall,metric_scope,class_label,per_class_recall
feature_probe,cls_mean_concat,diagnostic_balanced,oracle_model,20000,5,0.55385,0.5538500000000001,0.5430158221762316,10.981160986053423,0.7303,per_class_recall,NaiveForecaster,0.619
feature_probe,revin_aux,pilot_selection,oracle_model,30000,5,0.5665666666666667,0.443329605615709,0.42160567665542226,1.1448800732944675,0.7684666666666666,per_class_recall,DLinear,0.6634015069967707
feature_probe,revin_aux,pilot_selection,oracle_model,30000,5,0.5665666666666667,0.443329605615709,0.42160567665542226,1.1448800732944675,0.7684666666666666,per_class_recall,PatchTST,0.362090418913314
feature_probe,revin_aux,pilot_selection,oracle_model,30000,5,0.5665666666666667,0.443329605615709,0.42160567665542226,1.1448800732944675,0.7684666666666666,per_class_recall,CrossFormer,0.0
feature_probe,revin_aux,pilot_selection,oracle_model,30000,5,0.5665666666666667,0.443329605615709,0.42160567665542226,1.1448800732944675,0.7684666666666666,per_class_recall,ES,0.7640727688351272
feature_probe,revin_aux,pilot_selection,oracle_model,30000,5,0.5665666666666667,0.443329605615709,0.42160567665542226,1.1448800732944675,0.7684666666666666,per_class_recall,NaiveForecaster,0.4270833333333333
feature_probe,revin_aux,diagnostic_balanced,oracle_model,20000,5,0.4369,0.43690000000000007,0.40508943848792445,1.3003910096331195,0.66275,per_class_recall,DLinear,0.671
feature_probe,revin_aux,diagnostic_balanced,oracle_model,20000,5,0.4369,0.43690000000000007,0.40508943848792445,1.3003910096331195,0.66275,per_class_recall,PatchTST,0.34325
feature_probe,revin_aux,diagnostic_balanced,oracle_model,20000,5,0.4369,0.43690000000000007,0.40508943848792445,1.3003910096331195,0.66275,per_class_recall,CrossFormer,0.0
feature_probe,revin_aux,diagnostic_balanced,oracle_model,20000,5,0.4369,0.43690000000000007,0.40508943848792445,1.3003910096331195,0.66275,per_class_recall,ES,0.7485
feature_probe,revin_aux,diagnostic_balanced,oracle_model,20000,5,0.4369,0.43690000000000007,0.40508943848792445,1.3003910096331195,0.66275,per_class_recall,NaiveForecaster,0.42175
