probe_kind,model_name,sample_set,target_name,sample_count,class_count,accuracy,balanced_accuracy,macro_f1,cross_entropy,top2_recall,feature_dim
structure_probe,revin_aux,pilot_selection,cv_cat,30000,4,0.5064666666666666,0.4338426120625368,0.4277066197900382,1.2793010703374055,,6
structure_probe,revin_aux,diagnostic_balanced,cv_cat,20000,4,0.4743,0.4235539822437836,0.41483959386278696,1.3591915019569263,,6
structure_probe,cls_embedding,pilot_selection,missing_ratio_cat,30000,1,1.0,1.0,1.0,-0.0,,768
structure_probe,cls_embedding,diagnostic_balanced,missing_ratio_cat,20000,1,1.0,1.0,1.0,-0.0,,768
structure_probe,mean_patch_embedding,pilot_selection,missing_ratio_cat,30000,1,1.0,1.0,1.0,-0.0,,768
structure_probe,mean_patch_embedding,diagnostic_balanced,missing_ratio_cat,20000,1,1.0,1.0,1.0,-0.0,,768
structure_probe,cls_mean_concat,pilot_selection,missing_ratio_cat,30000,1,1.0,1.0,1.0,-0.0,,1536
structure_probe,cls_mean_concat,diagnostic_balanced,missing_ratio_cat,20000,1,1.0,1.0,1.0,-0.0,,1536
structure_probe,revin_aux,pilot_selection,missing_ratio_cat,30000,1,1.0,1.0,1.0,-0.0,,6
structure_probe,revin_aux,diagnostic_balanced,missing_ratio_cat,20000,1,1.0,1.0,1.0,-0.0,,6
structure_probe,cls_embedding,pilot_selection,cluster,30000,8,0.45736666666666664,0.48936387130253217,0.4454769831744572,9.905379689967228,,768
structure_probe,cls_embedding,diagnostic_balanced,cluster,20000,8,0.50295,0.518699079568644,0.47771311340720873,9.92022963173991,,768
structure_probe,mean_patch_embedding,pilot_selection,cluster,30000,8,0.4610666666666667,0.48846505477509145,0.44503222211936694,10.100975935085824,,768
structure_probe,mean_patch_embedding,diagnostic_balanced,cluster,20000,8,0.50645,0.5189098485025281,0.47870239340799725,10.031221598000664,,768
structure_probe,cls_mean_concat,pilot_selection,cluster,30000,8,0.46213333333333334,0.493183566460113,0.44771631228513487,12.914214857086295,,1536
structure_probe,cls_mean_concat,diagnostic_balanced,cluster,20000,8,0.50895,0.5245410772939079,0.4825948517945602,12.178057452413423,,1536
structure_probe,revin_aux,pilot_selection,cluster,30000,8,0.3828666666666667,0.26306637678442923,0.2158622258296896,1.7381679538673953,,6
structure_probe,revin_aux,diagnostic_balanced,cluster,20000,8,0.3577,0.26132505903126296,0.21346114833441956,1.7685089140238335,,6
structure_probe,cls_embedding,pilot_selection,group_name,30000,8,0.4646,0.4926502863688884,0.44923074975544164,10.802595846556398,,768
structure_probe,cls_embedding,diagnostic_balanced,group_name,20000,8,0.50805,0.5192461572027637,0.47938045534145834,10.440248309125327,,768
structure_probe,mean_patch_embedding,pilot_selection,group_name,30000,8,0.46103333333333335,0.49074332128124143,0.4474602211015015,10.602470666555238,,768
structure_probe,mean_patch_embedding,diagnostic_balanced,group_name,20000,8,0.50545,0.5188317021337002,0.47790513523523376,10.317901516532135,,768
structure_probe,cls_mean_concat,pilot_selection,group_name,30000,8,0.4671,0.5006544220351967,0.45578284727946744,13.017136574002608,,1536
structure_probe,cls_mean_concat,diagnostic_balanced,group_name,20000,8,0.5106,0.5278829212844379,0.4852835067699704,12.114021572136656,,1536
structure_probe,revin_aux,pilot_selection,group_name,30000,8,0.37916666666666665,0.2614789556571158,0.21835979816333245,1.7509150638738769,,6
structure_probe,revin_aux,diagnostic_balanced,group_name,20000,8,0.354,0.26071055107120705,0.2180019559500626,1.7832469185422952,,6
