layout,seed,sample_set,perturbation_sigma,row_count,cls_embedding_cosine_distance_mean,cls_embedding_cosine_distance_std,cls_embedding_cosine_distance_max,mean_patch_embedding_cosine_distance_mean,mean_patch_embedding_cosine_distance_std,mean_patch_embedding_cosine_distance_max,embedding_l2_mean,embedding_l2_std,embedding_l2_max
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.001,1536,0.02961847004553707,0.09196085843476753,0.4125626126986483,0.02354825538664372,0.07233409386188837,0.3161792677219848,1.4127375407285097,3.9828085082318485,15.561583518981934
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.005,1536,0.03165953168676949,0.09442523975991768,0.4036094150438456,0.025565977303739912,0.0748009656679575,0.3126210016127311,1.8295256048925996,4.007578528616775,15.567416191101074
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.01,1536,0.03184849461218974,0.0922207019425793,0.3862896426753672,0.02608833883231483,0.07352226874013706,0.3122655739159746,2.2034913827859177,3.856745882319139,15.537407875061035
spatial_panel_3view,16,round2_selection_small,0.001,1536,0.030855651235385334,0.09515405932895984,0.3935004942061866,0.024242770979029698,0.07429361582489016,0.3032048857699044,1.4296542485523485,4.0487082745879395,15.31589126586914
spatial_panel_3view,16,round2_selection_small,0.005,1536,0.031509794119024256,0.09517999979609129,0.3841950459296364,0.024980390221221265,0.07454703134556966,0.3013313608625859,1.7699682994182997,3.982162905254357,15.241039276123049
spatial_panel_3view,16,round2_selection_small,0.01,1536,0.03202183361258585,0.09378693501500027,0.4085211526393738,0.025739887956252917,0.07372284115657333,0.3054127260361329,2.164662965806201,3.8476960574045442,15.316426277160645
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.001,1536,0.029915764935368808,0.09239111423323265,0.3954107006415787,0.02396949405949123,0.07300385183217915,0.3054977639250633,1.4344650352104509,4.016802657983238,15.354361534118652
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.005,1536,0.030787871024226865,0.09317319536920005,0.3997743153215883,0.024635838460725482,0.07311169485938589,0.2970104921502391,1.7838201679114718,3.9327079515656216,14.961828231811523
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.01,1536,0.03230934120634215,0.09334190832523649,0.4150404831005359,0.026459413378143545,0.07429994821920326,0.3140466561524675,2.225740348939629,3.883952820194523,15.545873641967772
spatial_panel_3view,17,round2_selection_small,0.001,1536,0.03062690576160695,0.09391237489802395,0.3924539714463252,0.02412626304908715,0.07335589507631521,0.3183818597557524,1.4360306792489912,4.031969966312461,15.66970920562744
spatial_panel_3view,17,round2_selection_small,0.005,1536,0.031493215075714655,0.09531162908315606,0.3997743153215883,0.024833171291591894,0.07427549451428038,0.3034893567910059,1.7693548041085403,3.9622992878438916,15.184715270996094
spatial_panel_3view,17,round2_selection_small,0.01,1536,0.032673231337586275,0.0948553613490315,0.3771256626387449,0.02642742224042025,0.0749007557323878,0.3036159511955719,2.2035405372832124,3.896798564295829,15.18195915222168
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.001,1536,0.029203181162602395,0.09119814228454272,0.3921495743550027,0.023173169485858115,0.07154711644674851,0.3045080704795452,1.3984532535347778,3.9566422344560586,15.398834228515623
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.005,1536,0.03082411482883442,0.09241952451713435,0.4102018363502676,0.025066305538026048,0.07385413325013239,0.3263413058826843,1.802382185861158,3.9715945606428673,16.049776077270508
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.01,1536,0.031985509958444736,0.0923099365874869,0.4028039927760001,0.026329177942342102,0.07405961611784109,0.3248556924563439,2.2151425170789785,3.87923680271302,15.852211952209473
spatial_panel_3view,18,round2_selection_small,0.001,1536,0.030815176304759957,0.09469888533268861,0.3927958535497029,0.024210159560102265,0.07382444325136839,0.3090933436783513,1.4389574494828896,4.0390614724698475,15.398834228515623
spatial_panel_3view,18,round2_selection_small,0.005,1536,0.031631110343187045,0.09530822004241352,0.379734338850074,0.025165168090317793,0.074738367117854,0.3009867979759,1.788153463896985,3.9878624876278055,15.149895668029783
spatial_panel_3view,18,round2_selection_small,0.01,1536,0.03143288441058411,0.09264173991575025,0.3803862302615904,0.025276694986091818,0.07299652672759295,0.2965377359208067,2.147389958942464,3.81090041505418,15.23655128479004
