layout,seed,sample_set,perturbation_sigma,row_count,image_l2_mean,image_l2_std,image_l2_max,image_cosine_distance_mean,image_cosine_distance_std,image_cosine_distance_max
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.001,1536,6.2916447650350165,19.17830853280913,120.87126159667967,0.010579982706196108,0.03549334281741605,0.2842998270732442
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.005,1536,7.481178486060041,19.295970303869964,92.66390991210938,0.011080810805620412,0.036168525759301934,0.1994216129269571
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.01,1536,8.656795241326714,19.554646686604848,96.3949203491211,0.011603167705456345,0.03787982627996584,0.211022527971881
spatial_panel_3view,16,round2_selection_small,0.001,1536,6.546257655912389,19.749736896157984,96.86390686035156,0.011354830539551858,0.0368671248398977,0.2124167866603592
spatial_panel_3view,16,round2_selection_small,0.005,1536,7.546976420329884,19.84879543814608,104.13880157470705,0.011718867033958781,0.03799866737537383,0.2347528736633898
spatial_panel_3view,16,round2_selection_small,0.01,1536,8.568055502837524,19.294712439971846,96.4223175048828,0.011630529413409342,0.0372202657462796,0.211096168359028
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.001,1536,6.161378992178167,18.736283465645947,98.93706512451172,0.010158732211575936,0.0341819645688639,0.2188074633390697
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.005,1536,7.298042025533505,19.011067145886013,96.55290985107422,0.010757855859932141,0.03542098196453658,0.2114649803697232
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.01,1536,8.675422849211222,19.454408848363098,102.05327606201172,0.01160186671133824,0.03745711734397159,0.2284526101114762
spatial_panel_3view,17,round2_selection_small,0.001,1536,6.473193149693543,19.44033539528087,98.6785659790039,0.011059822033433463,0.03601447693883847,0.2180080687317463
spatial_panel_3view,17,round2_selection_small,0.005,1536,7.433187020709738,19.48869836009484,94.27349090576172,0.01139895086171397,0.03690871329231775,0.2044079863532429
spatial_panel_3view,17,round2_selection_small,0.01,1536,8.620895449925834,19.37638712486977,98.4756851196289,0.011715005463747935,0.037452575914591016,0.2174407067549698
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.001,1536,6.385914593129807,19.56777030479347,101.25537872314452,0.01093253314234182,0.03666804679400505,0.2259263535149729
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.005,1536,7.389331881888211,19.276347415993225,94.59718322753906,0.011003096652756087,0.036213209565544406,0.2054285690029366
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.01,1536,8.544818512552107,19.185544040538005,95.87926483154295,0.01134422411541589,0.0365586923108081,0.209419546752709
spatial_panel_3view,18,round2_selection_small,0.001,1536,6.359630006413984,19.173937761278054,104.57671356201172,0.010764063856952054,0.03540088756687195,0.2360691972774781
spatial_panel_3view,18,round2_selection_small,0.005,1536,7.548868762523246,19.658132315460108,96.72721099853516,0.011580385969552034,0.037296397603944216,0.2120173863635085
spatial_panel_3view,18,round2_selection_small,0.01,1536,8.415370141078407,18.904020151252556,98.33981323242188,0.011249981489326094,0.03604548366625757,0.2170121843808041
