layout,seed,sample_set,perturbation_sigma,row_count,router_weight_js_divergence_mean,router_weight_js_divergence_std,router_weight_js_divergence_max,router_weight_l1_mean,router_weight_l1_std,router_weight_l1_max,router_weight_max_change_mean,router_weight_max_change_std,router_weight_max_change_max,selected_model_flipped_mean,selected_model_flipped_std,selected_model_flipped_max
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.001,1536,0.027174589873585602,0.08736389187489217,0.4106517260739781,0.1297809724335934,0.4020423836988835,1.583782434463501,0.06472732578610395,0.20096250997457593,0.7918912172317505,0.005208333333333333,0.07200404138736187,True
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.005,1536,0.028531533956676694,0.09090116861923199,0.6631658421383761,0.146036435727827,0.40659737732453116,1.9792221784591677,0.07239052386792835,0.2033827388920999,0.9883989691734314,0.009114583333333334,0.09506519564155426,True
spatial_panel_3view,16,round2_diagnostic_balanced_small,0.01,1536,0.028752580041607495,0.09079326361886321,0.6571797437341675,0.1608294727584507,0.4029138785589781,1.9740409851074217,0.0792004164944349,0.20167467629188837,0.9856715798377992,0.014322916666666666,0.11885692226201322,True
spatial_panel_3view,16,round2_selection_small,0.001,1536,0.02916327938132023,0.0908918339091759,0.355049739594625,0.13745655599887854,0.4156453653763813,1.5043598413467407,0.06860347654399367,0.20786227069231428,0.7521799206733704,0.004557291666666667,0.0673756495237809,True
spatial_panel_3view,16,round2_selection_small,0.005,1536,0.028913376339145133,0.08983975181643933,0.3566468039565532,0.14873814041429745,0.40998066861990795,1.5054973363876345,0.07370713407605455,0.2050963769330357,0.7527486085891724,0.015625,0.12405998339040424,True
spatial_panel_3view,16,round2_selection_small,0.01,1536,0.029139741952142337,0.08961897170944275,0.3566353718755145,0.16330493285071646,0.4060249491945689,1.5057730674743652,0.08043738791404086,0.2033011958919569,0.7528865337371826,0.024739583333333332,0.15538099824157844,True
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.001,1536,0.014800999414550054,0.047801505890323816,0.292123749565169,0.09128815389837419,0.278803800929699,1.3897395133972168,0.03219889868504799,0.09881026315537396,0.6948697566986084,0.011067708333333334,0.10465345000649875,True
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.005,1536,0.015331273910438153,0.04860376452133152,0.3330674846216399,0.10579441012578643,0.2784857383962391,1.4760541915893557,0.0391299882174962,0.10031310671352299,0.7380270957946777,0.020833333333333332,0.1428726531055852,True
spatial_panel_3view,17,round2_diagnostic_balanced_small,0.01,1536,0.016217197731631945,0.050401842882425864,0.47722694599892,0.12336148922474872,0.2793309023586176,1.750321626663208,0.04627497658357996,0.09861760646993302,0.875160813331604,0.036458333333333336,0.18748868948875475,True
spatial_panel_3view,17,round2_selection_small,0.001,1536,0.015778100514879018,0.04938271424434105,0.2174777640079322,0.09595396503732412,0.28590410690050544,1.0901944637298584,0.03285155309951011,0.09855606652153774,0.5450972318649292,0.005859375,0.07634682403817866,True
spatial_panel_3view,17,round2_selection_small,0.005,1536,0.01573440018337557,0.04911707331446535,0.2358852071655109,0.10788295277493194,0.2816397122545059,1.1685278415679932,0.03996135903280217,0.10197117403094381,0.5842639803886414,0.015625,0.12405998339040429,True
spatial_panel_3view,17,round2_selection_small,0.01,1536,0.016007025112998282,0.048685008591087875,0.2254152061648691,0.12299933644511891,0.27708961953664074,1.0594767332077026,0.04694753011995085,0.09929946477568063,0.5148792266845703,0.029947916666666668,0.17049916337703608,True
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.001,1536,0.01842392105981426,0.06016063996941258,0.2821283514881431,0.10704840009650711,0.3286588602231107,1.3303637504577637,0.05315596240673884,0.16397584106685886,0.6651818156242371,0.004557291666666667,0.06737564952378093,True
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.005,1536,0.018798286911326238,0.05957273363396146,0.2750903799237422,0.12348080436195608,0.3271424199514681,1.3154244422912598,0.06078000153411262,0.16316528069180794,0.6577122211456299,0.020833333333333332,0.14287265310558528,True
spatial_panel_3view,18,round2_diagnostic_balanced_small,0.01,1536,0.018481081540297782,0.057362700752246795,0.2782590393146437,0.13865913344668945,0.3175327299659683,1.3185343742370603,0.06773112838088001,0.15836931972083612,0.6592671871185303,0.029296875,0.16869230827072945,True
spatial_panel_3view,18,round2_selection_small,0.001,1536,0.019192157741748032,0.06072795180893391,0.2928621938502002,0.11209616060554117,0.3365735810564267,1.3430625200271606,0.05590077538719617,0.16832707387272575,0.6715313196182251,0.004557291666666667,0.06737564952378094,True
spatial_panel_3view,18,round2_selection_small,0.005,1536,0.019373960614909532,0.060768269451141416,0.2875278806000249,0.12501364002442486,0.33282276518532966,1.3353712558746338,0.06189762071107902,0.16657025297336578,0.6676856279373169,0.005208333333333333,0.07200404138736188,True
spatial_panel_3view,18,round2_selection_small,0.01,1536,0.019522605825279055,0.06016778641804859,0.2862647585880946,0.14083846414854403,0.3279182981267022,1.332537293434143,0.06908381343040063,0.16419057193397038,0.6662687063217163,0.022135416666666668,0.14717180864384508,True
