source_result,layout,sample_set,perturbation_sigma,stratum_value,row_count,top1_period_changed_mean,top1_period_changed_std,top1_period_changed_max,image_cosine_distance_mean,image_cosine_distance_std,image_cosine_distance_max,mean_patch_embedding_cosine_distance_mean,mean_patch_embedding_cosine_distance_std,mean_patch_embedding_cosine_distance_max,router_weight_js_divergence_mean,router_weight_js_divergence_std,router_weight_js_divergence_max,selected_model_flipped_mean,selected_model_flipped_std,selected_model_flipped_max,soft_fused_abs_change_mean,soft_fused_abs_change_std,soft_fused_abs_change_max,stratum_column
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.001,CrossFormer,891,0.0,0.0,False,1.2708966647170036e-06,4.95536815462892e-07,7.143085298699781e-06,1.792966091663219e-05,2.3708135091002492e-05,0.0001868267569352,5.043731770859409e-06,1.0644661064123813e-05,0.0001548718417196,0.004489337822671156,0.06688950009731642,True,0.0007893269468693004,0.0010103597359614434,0.0089479135349392,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.001,DLinear,846,0.0,0.0,False,1.2705660892280523e-06,5.103723845155607e-07,4.520302741450877e-06,1.4886569083398387e-05,1.5374960123465936e-05,0.0001211397552444,3.3375415379253636e-06,5.373059617864395e-06,4.865520817127583e-05,0.004728132387706856,0.06863924619978544,True,0.0005239764453748425,0.0006166020469851963,0.0074732415378093,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.001,ES,1080,0.35,0.4771905734331868,True,0.0445845211059035,0.06203282989240351,0.2842998270732442,0.09425977395124041,0.1217215133407808,0.3161792677219848,0.0845441934830444,0.11708306452161624,0.3452652670713775,0.014814814814814815,0.12086712870600466,True,0.0028651025778101183,0.04063981333877885,0.8992087244987488,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.001,NaiveForecaster,927,0.05393743257820928,0.22601613211764013,True,0.0005311678093407728,0.0025537218130845763,0.0182377455708342,0.007267838169467446,0.032825521416648934,0.2651020806489139,0.0015688270163090972,0.016685467565008105,0.4106517260739781,0.007551240560949299,0.08661589020707634,True,0.0033665618918830467,0.02089736797344716,0.3402618169784546,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.001,PatchTST,864,0.0,0.0,False,1.336109792206763e-06,6.728077943909405e-07,8.29513278033378e-06,1.7176231231606965e-05,1.837275655709409e-05,0.0002283201556748,4.97542071256137e-06,1.0786530954971395e-05,0.0001199616173814,0.0011574074074074073,0.03402069087198859,True,0.0010591443144586422,0.004009827164924429,0.062148030847311,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.005,CrossFormer,891,0.0,0.0,False,3.172895453604312e-05,1.1741835232688718e-05,0.0001225036311707,0.0003748859008378259,0.0004833647542739089,0.0043319355649491,0.000105713062352181,0.00022004918588268193,0.0030957817143308,0.012345679012345678,0.11048512803913896,True,0.0035025896218055575,0.003999104935386459,0.030236454680562,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.005,DLinear,846,0.0,0.0,False,3.122189173093406e-05,1.2468446489066107e-05,0.0001396469180612,0.00030757626120261406,0.0003013789160486094,0.0031738912259019,7.541246369235627e-05,0.00015024780787452086,0.002147232432691,0.01182033096926714,0.10814080614192978,True,0.002346608223367147,0.0027590376776270562,0.0251855459064245,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.005,ES,1080,0.3638888888888889,0.48134009975073827,True,0.045839850254434045,0.06250362038354118,0.2114649803697232,0.0972568733079566,0.12278703924733703,0.3263413058826843,0.08574507964112765,0.11636801722514906,0.3484772834773102,0.023148148148148147,0.15044357119929003,True,0.005404708334294785,0.04806732470606476,0.9163948893547058,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.005,NaiveForecaster,927,0.06903991370010787,0.2536588530683473,True,0.0009217722820354727,0.0038474081228384474,0.0379113678468457,0.010436518247686625,0.040012283325861056,0.2772804459440964,0.003659827677931049,0.038146124395659745,0.6631658421383761,0.022653721682847898,0.14887726635385962,True,0.006588600295380078,0.028467931901689548,0.3735747039318084,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.005,PatchTST,864,0.0,0.0,False,3.3267427998184764e-05,1.7787552871836817e-05,0.0002314818371376,0.00035361791412536386,0.0003745247811970437,0.0037932416641953,0.00010660419790049848,0.00022172304155663403,0.0026059376127775,0.01273148148148148,0.11217823150782029,True,0.00527205916852286,0.02203300002796466,0.3079279363155365,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.01,CrossFormer,891,0.001122334455667789,0.033501260508640406,True,0.00013346575860772133,0.0002979735392661002,0.0089213607278627,0.0015641881994367284,0.00694529980956499,0.2028191621988928,0.0005478462478330908,0.0038280209468960543,0.1108992665678172,0.024691358024691357,0.1552699357496624,True,0.00705135382633521,0.008515431393465337,0.1017908155918121,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.01,DLinear,846,0.0,0.0,False,0.00012218863633976638,4.475746932386624e-05,0.0005054844380422,0.0011883943562599492,0.0012670324169282753,0.011284276100628,0.0003236136367457552,0.0006801102871733538,0.0088971055400693,0.02127659574468085,0.144390255521148,True,0.005010449415995064,0.006343287644984232,0.068560242652893,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.01,ES,1080,0.362962962962963,0.48107706480200857,True,0.04783000541310604,0.06472031614932101,0.2284526101114762,0.09887313964112489,0.12248756601655977,0.3248556924563439,0.08595950298024346,0.11594398246567662,0.47722694599892,0.04351851851851852,0.20411573710303085,True,0.009523555841352107,0.059360525946908424,0.8760192394256592,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.01,NaiveForecaster,927,0.06796116504854369,0.2518151096779941,True,0.0011642417986146663,0.005426670512650991,0.073835086364944,0.01168081354216279,0.03960760792328685,0.26112517480739,0.003802313825527695,0.03731328189416335,0.6571797437341675,0.022653721682847898,0.14887726635385967,True,0.008439085171210512,0.026040399600480484,0.3617889583110809,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_diagnostic_balanced_small,0.01,PatchTST,864,0.0,0.0,False,0.00012698325780330304,5.3334539404426346e-05,0.0008164630874396,0.0013249843027867063,0.0012829249679083825,0.0102103671497806,0.0003907449388424476,0.0008585169905563147,0.0100826552656753,0.017361111111111112,0.13068844952084113,True,0.010080784351808194,0.048640990530921434,1.023768663406372,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.001,CrossFormer,783,0.0,0.0,False,1.3300627508305397e-06,6.490206059142808e-07,5.778613404450184e-06,1.7476099520357765e-05,2.1653420220104337e-05,0.0001987959229374,5.385905541628288e-06,1.647300173662109e-05,0.0003274688857783,0.007662835249042145,0.08725732140487787,True,0.0007409764993340274,0.0014786024614560048,0.0301555041223764,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.001,DLinear,1089,0.0,0.0,False,1.2368888326831618e-06,5.458264887472836e-07,6.294325540112666e-06,1.2865262907380324e-05,1.584352009897653e-05,0.0001670880739471,4.078102750118729e-06,1.98010428677383e-05,0.0006044290108015,0.0018365472910927456,0.04283525753474401,True,0.000585652417646113,0.000747823346204954,0.0106852799654006,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.001,ES,1161,0.3479758828596038,0.4765335890436553,True,0.04370895019327502,0.06120028903707604,0.2360691972774781,0.09342457492110201,0.12201598944926785,0.3183818597557524,0.08473952357337611,0.11745051025990236,0.355049739594625,0.009474590869939707,0.09691704371492273,True,0.0007342625963583372,0.00109682478803624,0.0140038924291729,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.001,NaiveForecaster,738,0.036585365853658534,0.18786884163694392,True,0.0002885096700436942,0.001658216223545617,0.0176082359739185,0.0040262412766960244,0.022708945724031745,0.1851527407777579,0.00015526363982728853,0.0012817740355189904,0.0261991008302777,0.0040650406504065045,0.06367110280570737,True,0.0012474595583741443,0.0037357720594220446,0.0627131387591362,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.001,PatchTST,837,0.0,0.0,False,1.324628944526234e-06,5.64695414591897e-07,6.165398782176368e-06,1.9892172846931733e-05,2.642794900277182e-05,0.0002700804431772,3.923726488480428e-06,8.134926338068407e-06,9.63062545130113e-05,0.0011947431302270011,0.03456505649101419,True,0.0005895654618029473,0.0007926455379066794,0.0091279055923223,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.005,CrossFormer,783,0.0,0.0,False,3.2349372957363606e-05,1.420861615887023e-05,0.0001904367197556,0.0003559161954053958,0.00043498184896577173,0.0041891213088055,8.946347448242954e-05,0.00018949551258776575,0.0029914600432435,0.017879948914431672,0.13259981867264312,True,0.0031036676480496995,0.004599850752697065,0.053213894367218,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.005,DLinear,1089,0.0,0.0,False,3.052420913895147e-05,1.1693432120810164e-05,0.0001306882659359,0.00027226791446704937,0.00034990427153920524,0.0054676551452441,7.654722465767195e-05,0.00015015772209345149,0.0019735483256322,0.010101010101010102,0.10004084133313025,True,0.0025641798100868394,0.00285095395378533,0.021160228177905,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.005,ES,1161,0.3479758828596038,0.476533589043656,True,0.04553780479319846,0.06330205646389667,0.2347528736633898,0.09438773701730727,0.12275706726741845,0.3034893567910059,0.08411964521020115,0.11663347912734104,0.3566468039565532,0.01636520241171404,0.12693013675116813,True,0.002382987081809719,0.004125259678175284,0.0426692031323909,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.005,NaiveForecaster,738,0.04607046070460705,0.2097798947829534,True,0.0004625650497375817,0.002070191830776748,0.0177710499412182,0.006364364607434434,0.02846166609742825,0.2050241398328385,0.0006138587542568885,0.0028727600013212532,0.0313304274835378,0.012195121951219513,0.10983053371572452,True,0.004370008131984774,0.00798486650710666,0.0756001099944114,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.005,PatchTST,837,0.0,0.0,False,3.238511660404883e-05,1.332946897644455e-05,0.0001465508330582,0.0003716640061789158,0.000455278955561478,0.0040941476390077,8.129338737846578e-05,0.00016166632365857242,0.0023872537306702,0.0035842293906810036,0.05979677816755723,True,0.0025857102070002487,0.003312915344659046,0.0463171899318695,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.01,CrossFormer,783,0.0,0.0,False,0.00012669732264911586,5.2282364600764475e-05,0.0007280067832892,0.00140351367277673,0.0017281320130750478,0.0162088695387363,0.0003777355611002983,0.0009090071851753933,0.0146949593499526,0.03959131545338442,0.19512167238535202,True,0.006213840985067132,0.010585358331559299,0.1527355462312698,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.01,DLinear,1089,0.0,0.0,False,0.00011956340934513662,4.629593537900767e-05,0.0005065752115733,0.000988341301410931,0.001044585939407308,0.0072676581212762,0.00029269676835942123,0.0005081450047177481,0.0092255772871462,0.018365472910927456,0.13433075722334106,True,0.005463532138024414,0.006569448376390256,0.0497975461184978,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.01,ES,1161,0.3479758828596038,0.4765335890436558,True,0.04510761937155428,0.062429242703056324,0.2174407067549698,0.0948054610764302,0.12177339933457831,0.3054127260361329,0.0840448314866327,0.11592299026408862,0.3566353718755145,0.02756244616709733,0.16378602978890203,True,0.004442001690561003,0.008602469089280591,0.1187807545065879,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.01,NaiveForecaster,738,0.044715447154471545,0.20681860458391688,True,0.0005589055945293811,0.0020534610646647097,0.018594423489095,0.00744500115640529,0.026455892912788864,0.2069442303845114,0.0011811646178173766,0.004552439786220421,0.089383615068723,0.02981029810298103,0.17017898408379223,True,0.008036947614247168,0.012557909432395278,0.1312566548585891,oracle_model
addendum_diagnosed,spatial_panel_3view,round2_selection_small,0.01,PatchTST,837,0.0011947431302270011,0.03456505649101418,True,0.00015159637200734332,0.0006404504411814134,0.018597145687792,0.0014518350233497668,0.0022474406266837317,0.0504522833339466,0.0003224542301910266,0.0006964554485759017,0.0082410609129192,0.015531660692951015,0.12372840496412324,True,0.005400828209937373,0.0073485472390964705,0.0900093242526054,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.001,CrossFormer,891,0.0,0.0,False,1.6853243192835417e-06,5.676569644077408e-07,8.172434936448703e-06,1.5919610880260698e-05,2.3388819943357352e-05,0.0002376128497418,3.621865392929154e-06,6.825367919456679e-06,5.8234271023308015e-05,0.003367003367003367,0.057960651025521046,True,0.0006156048451834536,0.0006889079635516823,0.0066913305781781,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.001,DLinear,846,0.0,0.0,False,1.7029226126898824e-06,5.958090293006945e-07,5.501278703912149e-06,1.3131937707203788e-05,1.981070361593148e-05,0.0002430632177584,3.821608704470168e-06,1.6770922258609997e-05,0.0004118610687311,0.0,0.0,False,0.0004925149870631079,0.0008198378915578662,0.0148984091356396,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.001,ES,1080,0.35,0.4771905734331868,True,0.05035288826453427,0.06983347878614254,0.3114107428943314,0.23711838351049122,0.30856962651331665,0.7543897369006999,0.08177070599332978,0.11233488340030878,0.3350926052774367,0.13240740740740742,0.3390901809630062,True,0.001999531850187114,0.025915540063482314,0.6294763088226318,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.001,NaiveForecaster,927,0.05393743257820928,0.22601613211764013,True,0.0006235103677627289,0.0029922387907863686,0.02154912605361,0.008861862230130418,0.04345149591989432,0.366507763277799,0.0017876226912603354,0.01488309860369311,0.2059596279102224,0.010787486515641856,0.10335686012253044,True,0.003076260874183085,0.017492656656261638,0.1810513734817505,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.001,PatchTST,864,0.0,0.0,False,1.762243756078653e-06,7.722956525347986e-07,9.460294261298683e-06,1.660137325613771e-05,2.483024631273402e-05,0.0003168923070686,4.924490858980477e-06,1.4558233375908312e-05,0.0001880199658277,0.003472222222222222,0.05885724558013913,True,0.0008784734998333011,0.002572027072449804,0.0369747318327426,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.005,CrossFormer,891,0.0,0.0,False,4.228827168430812e-05,1.3599025116143053e-05,0.0001449004621546,0.00027942327585127596,0.0003251440197856594,0.0036669137948869,6.659563456933485e-05,0.00012720877405120645,0.0020419248273119,0.016835016835016835,0.12872527469567602,True,0.0028756556781653147,0.0036348354429969537,0.0326882638037204,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.005,DLinear,846,0.0,0.0,False,4.209185869977152e-05,1.4500987245778351e-05,0.0001649446225024,0.00023273807631524635,0.00022847165537806971,0.0025189519343767,5.016593109847308e-05,9.074803504253098e-05,0.001190374493467,0.00591016548463357,0.076695426003859,True,0.002023963515600528,0.0026485334576009036,0.0393302664160728,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.005,ES,1080,0.3638888888888889,0.48134009975073827,True,0.05177482744899836,0.0703850861032023,0.2349592740138475,0.24263538831303127,0.3098647236672289,0.7491896362326993,0.08305663480581936,0.11229344375557625,0.3353381172810089,0.13703703703703704,0.3440457630057167,True,0.0040319283642167225,0.03046603590735148,0.646332859992981,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.005,NaiveForecaster,927,0.06903991370010787,0.2536588530683473,True,0.0010583647391540726,0.004343711886278418,0.0412784568765313,0.01361015622760932,0.056292183556182235,0.401923006555691,0.0025633794820595942,0.02028007838142107,0.3523042393679425,0.018338727076591153,0.13424551844339547,True,0.005362265849660321,0.021741065987585212,0.3008262515068054,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.005,PatchTST,864,0.0,0.0,False,4.3681521144700396e-05,2.031084702415828e-05,0.0002577603528072,0.00026555331643846486,0.0002652066016613184,0.0024220779591811,7.785767476214653e-05,0.00017282323504989072,0.0019589096222639,0.005787037037037037,0.07589607469361621,True,0.0035698386557430012,0.007837028978397267,0.1044530943036079,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.01,CrossFormer,891,0.001122334455667789,0.033501260508640406,True,0.00017618707719453756,0.00033201535922636855,0.0099580744972543,0.0012395916441840123,0.004387925056004207,0.1258287228580412,0.0002904538699851687,0.0006583758608344737,0.013566080825221,0.03254769921436588,0.17754922318842395,True,0.005538200744138514,0.006637437227721761,0.0620313622057437,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.01,DLinear,846,0.0,0.0,False,0.00016460840778304944,5.275063521736976e-05,0.0005776794773795,0.0008793585145285306,0.0008909520137742456,0.0105938198459137,0.000215887071234275,0.0005412467404464513,0.0127737937750504,0.010638297872340425,0.10265271676554812,True,0.0042025570395241175,0.00543013631142883,0.060311172157526,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.01,ES,1080,0.362962962962963,0.48107706480200857,True,0.053982497761502955,0.0728265960928447,0.2529832319709546,0.2455673828018949,0.31186581706795613,0.7386065220896825,0.08311097273729631,0.11213301199328564,0.3307152758963925,0.1574074074074074,0.3643531736692764,True,0.006329618399838296,0.032434669772485304,0.6304411292076111,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.01,NaiveForecaster,927,0.06796116504854369,0.2518151096779941,True,0.0013325027734347895,0.005969792659341311,0.0793995006163332,0.01301870452250743,0.05251584186390728,0.4387657315633041,0.0030069811047472262,0.02306822571956753,0.3963626493221771,0.02481121898597627,0.15563338838521096,True,0.007681871407469025,0.02617994240743716,0.509315550327301,oracle_model
existing_round2d,current_rgb_3view,round2_diagnostic_balanced_small,0.01,PatchTST,864,0.0,0.0,False,0.00016865002538624474,6.210094031678191e-05,0.0009235048707916,0.0010288228995045143,0.0011025700178896268,0.0117850275535326,0.0002771214489704937,0.0005549541553089111,0.0082560518325982,0.02199074074074074,0.14673809811729155,True,0.007079789087087666,0.017681125450174442,0.2313939183950424,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.001,CrossFormer,783,0.0,0.0,False,1.7449813217779071e-06,7.288210822218629e-07,6.749535855665734e-06,1.5195503779530754e-05,2.1639028847178787e-05,0.0002379075081698,3.4788812407923383e-06,6.21691772632791e-06,5.667375447793112e-05,0.0,0.0,False,0.0005549802905882931,0.0007559488041575289,0.0084120417013764,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.001,DLinear,1089,0.0,0.0,False,1.6713300101641785e-06,6.275195006013365e-07,7.246211177425188e-06,1.1190500626150874e-05,1.2927207720402013e-05,0.0001152980173604,2.6950017064992604e-06,6.196638828251842e-06,0.0001051393410763,0.0018365472910927456,0.042835257534744015,True,0.0005174680766556486,0.0008037383573348655,0.0176632311195135,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.001,ES,1161,0.3479758828596038,0.4765335890436553,True,0.04941631229236891,0.06894188397913752,0.2610126239355291,0.23717427271143068,0.3095332381905763,0.7543897369006999,0.08311759247439335,0.1133649769675196,0.3350926052774367,0.13006029285099052,0.33651471221040546,True,0.0007387847992861117,0.0013646680021197194,0.0282378643751144,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.001,NaiveForecaster,738,0.036585365853658534,0.18786884163694392,True,0.000345056729464684,0.0019688506827324993,0.0206966025519463,0.0052977299182233204,0.030221423716896068,0.253284470930611,0.00026580243940712894,0.002262123584230889,0.0395141474463879,0.0027100271002710027,0.052022591191716726,True,0.001302217006624873,0.005636986603631278,0.1105422154068946,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.001,PatchTST,837,0.0,0.0,False,1.7744088558927094e-06,6.406289103956782e-07,7.023066837308356e-06,1.7492516986827566e-05,2.6146349437526813e-05,0.0001770769401558,3.649843768573152e-06,9.281492078569173e-06,0.0001734951070438,0.0011947431302270011,0.03456505649101418,True,0.0005973579288242825,0.0011195969743539188,0.0151326088234782,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.005,CrossFormer,783,0.0,0.0,False,4.2661077271821805e-05,1.6192905117267506e-05,0.0002187045538358,0.000269928460483786,0.0003155037827178221,0.0039881003391184,5.993512144038275e-05,0.00010287662246315063,0.0009934963697207,0.010217113665389528,0.10062631925189988,True,0.0025636752797512843,0.003209104675875914,0.0376565121114254,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.005,DLinear,1089,0.0,0.0,False,4.141997255752972e-05,1.3855522271105565e-05,0.0001601220921509,0.00020838669003462722,0.00022969680518987782,0.0022247624239072,5.405507070929599e-05,0.00010633518580902434,0.001507167564675,0.011019283746556474,0.10444077530788907,True,0.002496139556995991,0.0039743571627570435,0.0649937763810157,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.005,ES,1161,0.3479758828596038,0.476533589043656,True,0.05144115098881154,0.07126533985775593,0.2596274168080315,0.2395230046972714,0.3121064678028039,0.7398181532596008,0.08149430529366658,0.11124309378914582,0.3361479890117201,0.1429801894918174,0.3502034981613502,True,0.0024046649578301936,0.0049408902318920315,0.0854299962520599,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.005,NaiveForecaster,738,0.04607046070460705,0.2097798947829534,True,0.0005465975550604622,0.0024319820460789636,0.0208864238757214,0.007141319253882396,0.034322088420448996,0.2525765690347549,0.00047133339360748655,0.0024148173577891396,0.0347345923612106,0.009485094850948509,0.09699420408234526,True,0.003586094792725965,0.005523726424331529,0.0738680735230445,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.005,PatchTST,837,0.0,0.0,False,4.342862612995342e-05,1.5142259999288284e-05,0.0001701153043152,0.00031438444658946204,0.0003957924947099704,0.0035159024980048,6.261422599248903e-05,0.00012521576328991153,0.0012664525284357,0.005973715651135006,0.07710469038650292,True,0.002497747732727162,0.004583064684218543,0.0553071834146976,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.01,CrossFormer,783,0.0,0.0,False,0.0001672881584008845,5.9561201575598384e-05,0.0008391228238715,0.0010848052193894613,0.0012180813320036175,0.0081760145611494,0.00023269601214638425,0.0003504909127727424,0.0028732381063217,0.02681992337164751,0.16166011204875372,True,0.0047623805346664475,0.006008823394129432,0.0791408717632293,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.01,DLinear,1089,0.0,0.0,False,0.00016195334127365173,5.4441821444221606e-05,0.0006123107360631,0.0007581900213301623,0.0008210050542143071,0.0136143782821492,0.0002060535952840838,0.0003822352491933691,0.0053675861076884,0.020202020202020204,0.14075543152314932,True,0.004651258470646249,0.006175354328757604,0.0920180454850196,oracle_model
existing_round2d,current_rgb_3view,round2_selection_small,0.01,ES,1161,0.3479758828596038,0.4765335890436558,True,0.0509901510204495,0.07032277919289173,0.2413251717131439,0.24106252235472084,0.3127728253459617,0.7290953279272137,0.08402584915357744,0.11403860931839807,0.3377497229080786,0.14642549526270457,0.35368462696225755,True,0.0046782846380033554,0.009890188908717526,0.1371304541826248,oracle_model
