sample_set,variant,seed,method,selected_model,count,ratio
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,1251,0.06255
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,DLinear,8575,0.42875
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,ES,2147,0.10735
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,4703,0.23515
diagnostic_balanced,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,PatchTST,3324,0.1662
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,CrossFormer,1342,0.0671
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,DLinear,8198,0.4099
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,ES,4548,0.2274
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,NaiveForecaster,2147,0.10735
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,PatchTST,3765,0.18825
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,1342,0.0671
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,DLinear,8198,0.4099
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,ES,4548,0.2274
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,2147,0.10735
diagnostic_balanced,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,PatchTST,3765,0.18825
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,CrossFormer,1391,0.04636666666666667
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,DLinear,12210,0.407
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,ES,10619,0.35396666666666665
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,NaiveForecaster,1212,0.0404
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_hard_top1,PatchTST,4568,0.15226666666666666
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,CrossFormer,1391,0.04636666666666667
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,DLinear,12210,0.407
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,ES,10619,0.35396666666666665
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,NaiveForecaster,1212,0.0404
pilot_selection,cls_mean_concat_plus_aux,16,cls_mean_concat_plus_aux_raw_soft_fusion,PatchTST,4568,0.15226666666666666
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,CrossFormer,1231,0.04103333333333333
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,DLinear,19991,0.6663666666666667
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,ES,2514,0.0838
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,NaiveForecaster,1631,0.05436666666666667
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_hard_top1,PatchTST,4633,0.15443333333333334
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,CrossFormer,1231,0.04103333333333333
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,DLinear,19991,0.6663666666666667
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,ES,2514,0.0838
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,NaiveForecaster,1631,0.05436666666666667
pilot_selection,cls_mean_concat_plus_aux,17,cls_mean_concat_plus_aux_raw_soft_fusion,PatchTST,4633,0.15443333333333334
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,CrossFormer,1935,0.0645
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,DLinear,19068,0.6356
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,ES,1624,0.05413333333333333
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,NaiveForecaster,1999,0.06663333333333334
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_hard_top1,PatchTST,5374,0.17913333333333334
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,CrossFormer,1935,0.0645
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,DLinear,19068,0.6356
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,ES,1624,0.05413333333333333
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,NaiveForecaster,1999,0.06663333333333334
pilot_selection,cls_mean_concat_plus_aux,18,cls_mean_concat_plus_aux_raw_soft_fusion,PatchTST,5374,0.17913333333333334
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,CrossFormer,9198,0.3066
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,DLinear,12061,0.40203333333333335
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,ES,2922,0.0974
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,NaiveForecaster,1481,0.04936666666666667
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_hard_top1,PatchTST,4338,0.1446
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,9198,0.3066
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,DLinear,12061,0.40203333333333335
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,ES,2922,0.0974
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,1481,0.04936666666666667
pilot_selection,mean_patch_plus_aux,16,mean_patch_plus_aux_raw_soft_fusion,PatchTST,4338,0.1446
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,CrossFormer,1313,0.04376666666666667
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,DLinear,12698,0.4232666666666667
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,ES,2544,0.0848
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,NaiveForecaster,9270,0.309
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_hard_top1,PatchTST,4175,0.13916666666666666
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,1313,0.04376666666666667
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,DLinear,12698,0.4232666666666667
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,ES,2544,0.0848
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,9270,0.309
pilot_selection,mean_patch_plus_aux,17,mean_patch_plus_aux_raw_soft_fusion,PatchTST,4175,0.13916666666666666
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,CrossFormer,1552,0.05173333333333333
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,DLinear,12165,0.4055
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,ES,9758,0.32526666666666665
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,NaiveForecaster,1858,0.06193333333333333
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_hard_top1,PatchTST,4667,0.15556666666666666
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,CrossFormer,1552,0.05173333333333333
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,DLinear,12165,0.4055
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,ES,9758,0.32526666666666665
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,NaiveForecaster,1858,0.06193333333333333
pilot_selection,mean_patch_plus_aux,18,mean_patch_plus_aux_raw_soft_fusion,PatchTST,4667,0.15556666666666666
