delta_name,sample_set,method_kind,left_variant,right_variant,left_MAE_mean,right_MAE_mean,delta_MAE_mean,left_MAE_std,right_MAE_std,delta_MAE_std,left_MSE_mean,right_MSE_mean,delta_MSE_mean,status
film_cls_mean_concat_aux - visual_cls_mean_concat,pilot_selection,raw_soft_fusion,film_cls_mean_concat_aux,visual_cls_mean_concat,0.30048561320071543,0.3022199910361149,-0.001734377835399481,0.0008585233519499297,0.0039292078215832,-0.00307068446963327,1.3131619294091366,1.2173165101747008,0.09584541923443579,ok
film_cls_mean_concat_aux - cls_mean_concat_plus_aux,pilot_selection,raw_soft_fusion,film_cls_mean_concat_aux,cls_mean_concat_plus_aux,0.30048561320071543,0.3006053013230945,-0.00011968812237905802,0.0008585233519499297,0.0012871844977341,-0.0004286611457841703,1.3131619294091366,1.205400629274794,0.10776130013434249,ok
film_mean_patch_aux - visual_mean_patch_only,pilot_selection,raw_soft_fusion,film_mean_patch_aux,visual_mean_patch_only,0.30039319767940614,0.3009963275688582,-0.0006031298894520476,0.0005415206000238382,0.0010003941856286,-0.0004588735856047619,1.28987162021779,1.2341676710776053,0.05570394914018473,ok
film_mean_patch_aux - mean_patch_plus_aux,pilot_selection,raw_soft_fusion,film_mean_patch_aux,mean_patch_plus_aux,0.30039319767940614,0.3008313434756582,-0.0004381457962520652,0.0005415206000238382,0.0005477122935418,-6.191693517961817e-06,1.28987162021779,1.2399377942385863,0.049933825979203705,ok
film_cls_mean_concat_aux - film_mean_patch_aux,pilot_selection,raw_soft_fusion,film_cls_mean_concat_aux,film_mean_patch_aux,0.30048561320071543,0.30039319767940614,9.241552130928588e-05,0.0008585233519499297,0.0005415206000238382,0.0003170027519260915,1.3131619294091366,1.28987162021779,0.02329030919134656,ok
film_cls_mean_concat_aux - Round0 TimeFuse,pilot_selection,raw_soft_fusion,film_cls_mean_concat_aux,Round0 TimeFuse,0.30048561320071543,0.3175300871360582,-0.017044473935342752,0.0008585233519499297,0.0,0.0008585233519499297,1.3131619294091366,1.370166538406871,-0.05700460899773452,ok
film_mean_patch_aux - Round0 TimeFuse,pilot_selection,raw_soft_fusion,film_mean_patch_aux,Round0 TimeFuse,0.30039319767940614,0.3175300871360582,-0.017136889456652038,0.0005415206000238382,0.0,0.0005415206000238382,1.28987162021779,1.370166538406871,-0.08029491818908108,ok
