layout,seed,sample_set,perturbation_sigma,row_count,image_l2_mean,image_l2_std,image_l2_max,image_cosine_distance_mean,image_cosine_distance_std,image_cosine_distance_max
current_rgb_3view,16,round2_diagnostic_balanced_small,0.001,1536,6.305257615429582,19.134672312058907,120.60285186767578,0.011954353928016732,0.039989957886755426,0.3114107428943314
current_rgb_3view,16,round2_diagnostic_balanced_small,0.005,1536,7.574998769792728,19.226379633391446,92.45905303955078,0.012522375570808963,0.040768011183228176,0.2221255211741609
current_rgb_3view,16,round2_diagnostic_balanced_small,0.01,1536,8.84903335159955,19.45089168776353,96.1859893798828,0.013104332296366593,0.042605409037088246,0.2345186268670384
current_rgb_3view,16,round2_selection_small,0.001,1536,6.555861736832109,19.700429634137375,96.6484603881836,0.012834432509962473,0.04156348004126082,0.235966343429296
current_rgb_3view,16,round2_selection_small,0.005,1536,7.639758040507634,19.772420626171954,103.90750122070312,0.013238888584413097,0.04279435804507815,0.2596274168080315
current_rgb_3view,16,round2_selection_small,0.01,1536,8.760331685654819,19.18718569818324,96.21056365966795,0.013164613463350251,0.04195065697552574,0.234580779217988
current_rgb_3view,17,round2_diagnostic_balanced_small,0.001,1536,6.175078090639242,18.694014934283118,98.71697235107422,0.011487725882343897,0.038542882101179544,0.2427545668811263
current_rgb_3view,17,round2_diagnostic_balanced_small,0.005,1536,7.392472052325805,18.941618010842372,96.33892059326172,0.01216238936455151,0.039929004014877145,0.2349592740138475
current_rgb_3view,17,round2_diagnostic_balanced_small,0.01,1536,8.870434674046313,19.35079269218654,101.82688903808594,0.013112998504533993,0.04218221190765213,0.2529832319709546
current_rgb_3view,17,round2_selection_small,0.001,1536,6.4832692919590045,19.39249944921071,98.45906829833984,0.01250890835007539,0.040619738238493366,0.2419061492466784
current_rgb_3view,17,round2_selection_small,0.005,1536,7.524699172160278,19.413563529571373,94.0636978149414,0.012889756451257485,0.04160459875207882,0.2274374815297037
current_rgb_3view,17,round2_selection_small,0.01,1536,8.81712873885408,19.267928883848995,98.26002502441406,0.013258681360123146,0.04220694006372484,0.2413251717131439
current_rgb_3view,18,round2_diagnostic_balanced_small,0.001,1536,6.3998219010633575,19.52407782432874,101.0301284790039,0.012341499819663539,0.04129516914810802,0.2502981171122803
current_rgb_3view,18,round2_diagnostic_balanced_small,0.005,1536,7.482779891307776,19.205465149021762,94.38783264160156,0.012430435035286532,0.040799153278139134,0.2285339719334764
current_rgb_3view,18,round2_diagnostic_balanced_small,0.01,1536,8.743550779220337,19.081969879727644,95.6730499267578,0.012831030315047164,0.04120622974668135,0.2328193071800856
current_rgb_3view,18,round2_selection_small,0.001,1536,6.3693308213260025,19.126125598804222,104.34408569335938,0.012177272432119461,0.0399182422045869,0.2610126239355291
current_rgb_3view,18,round2_selection_small,0.005,1536,7.642163650210326,19.582939997862134,96.51241302490234,0.013091032716500363,0.04203603381397935,0.2355457063168901
current_rgb_3view,18,round2_selection_small,0.01,1536,8.612101160610715,18.79678894749871,98.1246566772461,0.012745389980566612,0.04066671152794081,0.2408704923768837
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.001,1536,0.6266272705682544,4.42704940642132,50.01087188720703,0.0002601675585185003,0.0020478758980430416,0.0343116073237732
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.005,1536,1.07084166968707,5.3285304311979145,50.03758239746094,0.0003854806214294516,0.0023906247313442335,0.034352910568033
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.01,1536,1.41245526112228,5.628860939475366,50.04585647583008,0.0004389470910401673,0.0024383161309207337,0.0343661853291281
top3fold_period_layout,16,round2_selection_small,0.001,1536,0.25969525557957235,2.5958459525131374,38.29397201538086,8.924787323444563e-05,0.0010603810603961213,0.0192270505265769
top3fold_period_layout,16,round2_selection_small,0.005,1536,0.6759268719082078,3.9790918500494774,38.29604721069336,0.00021112101674783748,0.0016379435234517756,0.0192289538937254
top3fold_period_layout,16,round2_selection_small,0.01,1536,0.9618743632745463,4.307970147388887,40.29905319213867,0.0002531473046484496,0.0017291112324159513,0.0210372534509809
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.001,1536,0.6477771587002886,4.427885218961831,50.013614654541016,0.00026071001128476673,0.0019938453813672474,0.0343153926820852
