layout,seed,sample_set,perturbation_sigma,row_count,router_weight_js_divergence_mean,router_weight_js_divergence_std,router_weight_js_divergence_max,router_weight_l1_mean,router_weight_l1_std,router_weight_l1_max,router_weight_max_change_mean,router_weight_max_change_std,router_weight_max_change_max,selected_model_flipped_mean,selected_model_flipped_std,selected_model_flipped_max
current_rgb_3view,16,round2_diagnostic_balanced_small,0.001,1536,0.020904804039727377,0.06961445610891458,0.3295527444077589,0.11300554707181708,0.35281659579385455,1.4203455448150637,0.056288335572313934,0.17632282411509026,0.7101727724075317,0.005208333333333333,0.07200404138736183,True
current_rgb_3view,16,round2_diagnostic_balanced_small,0.005,1536,0.021857406072022596,0.07087721703683322,0.3523042393679425,0.127522722957129,0.3570085441852896,1.5673260688781738,0.06319167293865267,0.17849903649738771,0.7836630940437317,0.008463541666666666,0.09163720407974404,True
current_rgb_3view,16,round2_diagnostic_balanced_small,0.01,1536,0.0219285201957591,0.07052740075278359,0.3963626493221771,0.14032891087979726,0.3533443307756413,1.6345038414001465,0.06918053307284325,0.1767424270085599,0.817251980304718,0.020182291666666668,0.14066929119127697,True
current_rgb_3view,16,round2_selection_small,0.001,1536,0.022454883456023696,0.07170885981491042,0.3222390223218304,0.12047004062142241,0.3660939705979688,1.4103095531463623,0.06008508100175424,0.1829998585572504,0.7051547765731812,0.0006510416666666666,0.02551551815399144,True
current_rgb_3view,16,round2_selection_small,0.005,1536,0.022013152234597603,0.07054476557822129,0.3273336783738306,0.12919715694183267,0.35857370246345827,1.418390154838562,0.06389061481074042,0.1790679295599454,0.709195077419281,0.010416666666666666,0.10156217374456919,True
current_rgb_3view,16,round2_selection_small,0.01,1536,0.023240115901121933,0.07349397741926418,0.3377497229080786,0.14432520226786963,0.3626396403022285,1.4289807081222534,0.07113099734927644,0.1814047400393677,0.7144902944564819,0.020182291666666668,0.14066929119127683,True
current_rgb_3view,17,round2_diagnostic_balanced_small,0.001,1536,0.021491984033946223,0.06921081418444937,0.3350926052774367,0.11012177347140546,0.33645555597349774,1.471605896949768,0.0532149545213845,0.16419518862813584,0.7358028888702393,0.09114583333333333,0.2879101191331071,True
current_rgb_3view,17,round2_diagnostic_balanced_small,0.005,1536,0.021982731533431308,0.07004782579816711,0.3253821677813629,0.12286310461115586,0.33601349120731744,1.4478777647018433,0.059543623875924774,0.16474883456029787,0.7239388227462769,0.095703125,0.2942794884888801,True
current_rgb_3view,17,round2_diagnostic_balanced_small,0.01,1536,0.022195680590426065,0.06986578917580118,0.3247889864150171,0.13743263437315056,0.33258079839602833,1.4274427890777588,0.06628714499356643,0.16351539104892152,0.7137212753295898,0.109375,0.3122107782133299,True
current_rgb_3view,17,round2_selection_small,0.001,1536,0.022973352128273884,0.07239645542597335,0.3350926052774367,0.11563028188767055,0.34840903004315155,1.471605896949768,0.05598087407490004,0.17020144164643827,0.7358028888702393,0.09440104166666667,0.29248107370304205,True
current_rgb_3view,17,round2_selection_small,0.005,1536,0.022800587511900755,0.07145276798477512,0.3361479890117201,0.12492991466986796,0.3418549137287783,1.462219476699829,0.060118072926343254,0.16648698183599586,0.7311097383499146,0.10091145833333333,0.301309545680406,True
current_rgb_3view,17,round2_selection_small,0.01,1536,0.023003644089293018,0.07168494184682346,0.3349711985702199,0.13868257919392588,0.33904154925864494,1.473138451576233,0.06675107530584981,0.1661460453529783,0.7365691661834717,0.107421875,0.30974970522341677,True
current_rgb_3view,18,round2_diagnostic_balanced_small,0.001,1536,0.01618407366508014,0.05396761885709251,0.2978348720588477,0.0968765988231652,0.30048226653484467,1.38871967792511,0.044284337146261,0.13961987757520994,0.6943598389625549,0.007161458333333333,0.08434929686518068,True
current_rgb_3view,18,round2_diagnostic_balanced_small,0.005,1536,0.016216154379740905,0.05305213667744349,0.2984853829213774,0.109329063331567,0.29866123227996094,1.4048928022384644,0.049934241439283704,0.13916047086670774,0.7024464011192322,0.01953125,0.13842779959359947,True
current_rgb_3view,18,round2_diagnostic_balanced_small,0.01,1536,0.01657123530282017,0.054049947229701606,0.2875482336339037,0.12203202410222498,0.29443084187580526,1.3592891693115234,0.055646277306247265,0.13682544079963868,0.6796447038650513,0.033203125,0.17922497031304913,True
current_rgb_3view,18,round2_selection_small,0.001,1536,0.017530358688591326,0.05671115493849549,0.2775939375304341,0.10320356292259918,0.3142405709479911,1.3579869270324707,0.046388019231812856,0.1445195819864716,0.6789934635162354,0.006510416666666667,0.08045026316030561,True
current_rgb_3view,18,round2_selection_small,0.005,1536,0.017113952811883926,0.054751083461947396,0.3106982612866873,0.11137201890424342,0.30365557296025414,1.4160234928131104,0.05100162559619998,0.14140537680532608,0.7080118060112,0.017578125,0.13145487732293168,True
current_rgb_3view,18,round2_selection_small,0.01,1536,0.018023826399494118,0.056890751543632156,0.276196625364376,0.12666320596246308,0.30806115263838335,1.3602616786956787,0.05690221039738688,0.14089641591140212,0.6801308393478394,0.025390625,0.15735965905026908,True
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.001,1536,0.0021882464240062824,0.031026862029758743,0.5836621074405888,0.011837473920987614,0.11535409381019779,1.8981101512908936,0.005682559419900171,0.05668563657034032,0.9490550756454468,0.014322916666666666,0.11885692226201325,True
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.005,1536,0.0028371653871109323,0.03135248394657722,0.6204458585328967,0.022570348740373395,0.12952169374952516,1.9434568881988523,0.010748114453652561,0.06387796237779687,0.9717284440994264,0.064453125,0.24563835686138974,True
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.01,1536,0.0028152238418071435,0.030230209038147212,0.6051059794448994,0.03132489641285469,0.12819870158807595,1.9091336727142332,0.014668959325490456,0.06284698913584807,0.9504539966583252,0.09309895833333333,0.2906656955209198,True
top3fold_period_layout,16,round2_selection_small,0.001,1536,0.0004721195158572584,0.014493902772209124,0.5657191113288568,0.004459178651088607,0.0494722734186752,1.8721795082092283,0.0021124278000570007,0.024331836318575294,0.9225049614906312,0.005208333333333333,0.07200404138736187,True
top3fold_period_layout,16,round2_selection_small,0.005,1536,0.001390156002219455,0.022876082001396108,0.5491182750193918,0.01508615695866543,0.08838834069366298,1.862739324569702,0.007088429770495421,0.04371885171452098,0.9313696622848512,0.057291666666666664,0.2324747660059756,True
top3fold_period_layout,16,round2_selection_small,0.01,1536,0.0017042311644240955,0.02486385432892125,0.6407576986052538,0.02441079268876929,0.09644349930972397,1.9607515335083008,0.01131398350313849,0.04690152959113646,0.9803757667541504,0.09440104166666667,0.2924810737030416,True
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.001,1536,0.0021503373037288324,0.028710304326894958,0.5134282595576104,0.012572557992768858,0.11609216018420518,1.8002090454101562,0.006065110003873948,0.05719429343825502,0.9001045227050781,0.007161458333333333,0.08434929686518076,True
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.005,1536,0.001992785293351508,0.027468986802791716,0.5648640398143714,0.018111944394533404,0.1091266511006213,1.867573976516724,0.008516211519387628,0.05420835812820221,0.9335869550704956,0.008463541666666666,0.09163720407974411,True
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.01,1536,0.0024997097394845198,0.028436045207723328,0.5485357638536394,0.03157000742685526,0.12005282830382531,1.854750752449036,0.014432399467485339,0.0585589585732835,0.9257255792617798,0.07161458333333333,0.25793264256369586,True
top3fold_period_layout,17,round2_selection_small,0.001,1536,0.0006243082384990902,0.014488002585575208,0.4109855136316004,0.005212415631696339,0.06251069474802994,1.6643507480621338,0.002521514446622509,0.03125812973112454,0.8321753740310669,0.0026041666666666665,0.05098114445674437,True
top3fold_period_layout,17,round2_selection_small,0.005,1536,0.001261849771936232,0.021555880120391478,0.4855176526071816,0.014317799950873629,0.08653381969000846,1.7524617910385132,0.006536549250995401,0.041787441643038915,0.8762308955192566,0.005208333333333333,0.07200404138736187,True
top3fold_period_layout,17,round2_selection_small,0.01,1536,0.0014842822272069277,0.016870815534929376,0.3419306372310527,0.025010684707846495,0.09270787833311657,1.532886028289795,0.011240349544777877,0.04345643950486909,0.7664430141448975,0.06901041666666667,0.25355440130100215,True
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.001,1536,0.0019016193417889411,0.028161112584978224,0.574790575138987,0.011312077038373473,0.10750009319198123,1.88721227645874,0.005386202873410136,0.052472190640451666,0.9436060786247252,0.007161458333333333,0.08434929686518067,True
