layout,sample_set,perturbation_sigma,stratum_value,row_count,top1_period_changed_mean,top1_period_changed_std,top1_period_changed_max,image_cosine_distance_mean,image_cosine_distance_std,image_cosine_distance_max,mean_patch_embedding_cosine_distance_mean,mean_patch_embedding_cosine_distance_std,mean_patch_embedding_cosine_distance_max,router_weight_js_divergence_mean,router_weight_js_divergence_std,router_weight_js_divergence_max,selected_model_flipped_mean,selected_model_flipped_std,selected_model_flipped_max,soft_fused_abs_change_mean,soft_fused_abs_change_std,soft_fused_abs_change_max,stratum_column
current_rgb_3view,round2_diagnostic_balanced_small,0.001,CrossFormer,891,0.0,0.0,False,1.6853243192835417e-06,5.676569644077408e-07,8.172434936448703e-06,1.5919610880260694e-05,2.3388819943357352e-05,0.0002376128497418,3.621865392929154e-06,6.825367919456679e-06,5.8234271023308015e-05,0.003367003367003367,0.057960651025521046,True,0.0006156048451834536,0.0006889079635516823,0.0066913305781781,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.001,DLinear,846,0.0,0.0,False,1.7029226126898824e-06,5.958090293006945e-07,5.501278703912149e-06,1.3131937707203788e-05,1.981070361593148e-05,0.0002430632177584,3.821608704470168e-06,1.6770922258609997e-05,0.0004118610687311,0.0,0.0,False,0.0004925149870631079,0.0008198378915578662,0.0148984091356396,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.001,ES,1080,0.35,0.4771905734331868,True,0.05035288826453427,0.06983347878614254,0.3114107428943314,0.23711838351049122,0.30856962651331665,0.7543897369006999,0.08177070599332978,0.11233488340030878,0.3350926052774367,0.13240740740740742,0.3390901809630062,True,0.001999531850187114,0.025915540063482314,0.6294763088226318,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.001,NaiveForecaster,927,0.05393743257820928,0.22601613211764013,True,0.0006235103677627289,0.0029922387907863686,0.02154912605361,0.008861862230130418,0.04345149591989432,0.366507763277799,0.0017876226912603354,0.01488309860369311,0.2059596279102224,0.010787486515641856,0.10335686012253044,True,0.003076260874183085,0.017492656656261638,0.1810513734817505,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.001,PatchTST,864,0.0,0.0,False,1.762243756078653e-06,7.722956525347986e-07,9.460294261298683e-06,1.660137325613771e-05,2.483024631273402e-05,0.0003168923070686,4.924490858980477e-06,1.4558233375908312e-05,0.0001880199658277,0.003472222222222222,0.05885724558013913,True,0.0008784734998333011,0.002572027072449804,0.0369747318327426,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.005,CrossFormer,891,0.0,0.0,False,4.228827168430812e-05,1.3599025116143053e-05,0.0001449004621546,0.00027942327585127596,0.0003251440197856594,0.0036669137948869,6.659563456933485e-05,0.00012720877405120645,0.0020419248273119,0.016835016835016835,0.12872527469567602,True,0.0028756556781653147,0.0036348354429969537,0.0326882638037204,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.005,DLinear,846,0.0,0.0,False,4.209185869977152e-05,1.4500987245778351e-05,0.0001649446225024,0.00023273807631524635,0.00022847165537806971,0.0025189519343767,5.016593109847308e-05,9.074803504253098e-05,0.001190374493467,0.00591016548463357,0.076695426003859,True,0.002023963515600528,0.0026485334576009036,0.0393302664160728,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.005,ES,1080,0.3638888888888889,0.48134009975073827,True,0.05177482744899836,0.0703850861032023,0.2349592740138475,0.24263538831303127,0.3098647236672289,0.7491896362326993,0.08305663480581936,0.11229344375557625,0.3353381172810089,0.13703703703703704,0.3440457630057167,True,0.0040319283642167225,0.03046603590735148,0.646332859992981,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.005,NaiveForecaster,927,0.06903991370010787,0.2536588530683473,True,0.0010583647391540726,0.004343711886278418,0.0412784568765313,0.01361015622760932,0.056292183556182235,0.401923006555691,0.0025633794820595942,0.02028007838142107,0.3523042393679425,0.018338727076591153,0.13424551844339547,True,0.005362265849660321,0.021741065987585212,0.3008262515068054,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.005,PatchTST,864,0.0,0.0,False,4.3681521144700396e-05,2.031084702415828e-05,0.0002577603528072,0.00026555331643846486,0.0002652066016613184,0.0024220779591811,7.785767476214653e-05,0.00017282323504989072,0.0019589096222639,0.005787037037037037,0.07589607469361621,True,0.0035698386557430012,0.007837028978397267,0.1044530943036079,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.01,CrossFormer,891,0.001122334455667789,0.033501260508640406,True,0.00017618707719453756,0.00033201535922636855,0.0099580744972543,0.0012395916441840123,0.004387925056004207,0.1258287228580412,0.0002904538699851687,0.0006583758608344737,0.013566080825221,0.03254769921436588,0.17754922318842395,True,0.005538200744138514,0.006637437227721761,0.0620313622057437,oracle_model
current_rgb_3view,round2_diagnostic_balanced_small,0.01,DLinear,846,0.0,0.0,False,0.00016460840778304944,5.275063521736976e-05,0.0005776794773795,0.0008793585145285306,0.0008909520137742456,0.0105938198459137,0.000215887071234275,0.0005412467404464513,0.0127737937750504,0.010638297872340425,0.10265271676554812,True,0.0042025570395241175,0.00543013631142883,0.060311172157526,oracle_model
