layout,seed,sample_set,sample_key,perturbation_sigma,perturbation_index,top1_period,perturbed_top1_period,top1_period_changed,top3_jaccard,top1_period_bucket,perturbed_top1_period_bucket,top1_period_bucket_flipped,period_score_margin,perturbed_period_score_margin,image_l2,image_cosine_distance,cls_embedding_cosine_distance,mean_patch_embedding_cosine_distance,embedding_l2,router_weight_js_divergence,router_weight_l1,router_weight_max_change,selected_model,perturbed_selected_model,selected_model_flipped,soft_fused_abs_change,soft_fused_mae_change,regret_change,oracle_model,season_strength_cat,forecastability_cat,error_gap_quantile,top3_periods,perturbed_top3_periods,high_change_score
current_rgb_3view,17,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item5356__ch3__win128,0.01,2,4,16,True,0.0,p_le_4,p_9_16,True,0.0,0.0106792710721492,67.38623046875,0.1383164962029469,0.5057082088868555,0.6662438718777743,23.624805450439453,0.2603972111960763,1.297582983970642,0.6487914323806763,NaiveForecaster,ES,True,0.0006293468177318,-0.0005488991737365,-0.0005488991737365,ES,weak,low,q1,"4,3,2","16,32,96",1.0649575792767976
current_rgb_3view,17,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item102713__ch4__win1235,0.001,1,4,6,True,0.0,p_le_4,p_5_8,True,0.0,0.000124032550957,79.85647583007812,0.1798883161891776,0.4541951311940961,0.6033597073890502,22.32869529724121,0.2816658200337831,1.370004177093506,0.6850020885467529,NaiveForecaster,ES,True,0.0006282296380959,-0.0006282296963036,-0.0006282296963036,ES,moderate,low,q1,"4,3,2","6,16,32",1.064913843612011
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item21608__ch2__win198,0.005,0,4,10,True,0.5,p_le_4,p_9_16,True,0.0,0.0017491541802883,71.10193634033203,0.1505448835347879,0.4818980306891801,0.6546170046812463,23.40238571166992,0.2597230701362368,1.2986648082733154,0.6493324041366577,ES,ES,False,0.0006310096359811,-0.0006310096359811,-0.0006310096359811,ES,moderate,medium,q1,"4,3,2","10,4,3",1.064884958352271
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item102431__ch4__win911,0.005,0,4,16,True,0.0,p_le_4,p_9_16,True,0.0,0.0016451629344373,87.58638000488281,0.2058545625012305,0.4950293619917087,0.6572131786661171,23.89019012451172,0.2015535229230531,1.1931058168411257,0.5965529084205627,ES,ES,False,0.0005644173943437,-0.0005644174525514,-0.0005644174525514,ES,moderate,low,q1,"4,3,2","16,32,12",1.064621264090401
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item863__ch3__win460,0.005,2,4,16,True,0.0,p_le_4,p_9_16,True,0.0,0.0012016997206956,66.06758117675781,0.1339434972924997,0.4703713327505463,0.6397674248131755,23.12604522705078,0.2908722886955234,1.365918755531311,0.6829593777656555,ES,ES,False,0.0006381585262715,-0.0006381585262715,-0.0006381585262715,ES,weak,high,q1,"4,3,2","16,5,48",1.0645832108011986
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item103678__ch4__win352,0.005,2,4,10,True,0.0,p_le_4,p_9_16,True,0.0,0.0005024392157793,71.19120025634766,0.1508770796650337,0.4698434249597344,0.6693768217621707,24.081403732299805,0.2442867284540991,1.2726116180419922,0.6363058090209961,ES,ES,False,0.0006154359434731,-0.0006154360016807,-0.0006154360016807,ES,strong,low,q1,"4,3,2","10,12,48",1.0645406298813036
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item102431__ch4__win867,0.001,1,4,24,True,0.0,p_le_4,p_17_32,True,0.0,7.970606384333223e-05,81.66535186767578,0.1859703204884994,0.4521874484940454,0.6242157486030184,23.05235290527344,0.2542656281047634,1.3051962852478027,0.6525980830192566,ES,ES,False,0.000609467504546,-0.000609467504546,-0.000609467504546,ES,moderate,low,q1,"4,3,2","24,8,6",1.0644516971962812
current_rgb_3view,17,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item15951__ch3__win158,0.005,0,4,4,False,0.2,p_le_4,p_le_4,False,0.0,0.0054731639102101,58.17212677001953,0.108526856905866,0.4491224761918689,0.6408376937163135,22.78351402282715,0.314770813967172,1.391175389289856,0.6955876350402832,NaiveForecaster,ES,True,0.0006608933326788,-0.0006608933908864,-0.0006608933908864,ES,weak,low,q1,"4,3,2","4,5,6",1.0641353645893514
current_rgb_3view,18,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item106497__ch3__win2677,0.01,0,4,2,True,0.2,p_le_4,p_le_4,False,0.0,0.0107015781104564,73.10446166992188,0.1572779419007957,0.5344363753445813,0.7290953279272137,24.41386604309082,0.1777326060021128,1.036005616188049,0.438997745513916,ES,ES,False,0.0005963632720522,-0.0005963633302599,-0.0005963633302599,ES,strong,high,q1,"4,3,2","2,8,96",1.0641058758301225
current_rgb_3view,16,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item109697__ch2__win898,0.001,2,4,10,True,0.0,p_le_4,p_9_16,True,0.0,6.550323450937867e-05,70.73017883300781,0.1493291177733863,0.4405921585801557,0.6088800073992586,22.401826858520508,0.3058397992785322,1.3915547132492063,0.6957773566246033,ES,ES,False,0.0006427888292819,-0.0006427888874895,-0.0006427888874895,ES,strong,high,q1,"4,3,2","10,64,48",1.064048924451177
current_rgb_3view,17,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item108878__ch3__win2494,0.01,0,4,5,True,0.0,p_le_4,p_5_8,True,0.0,0.0044134836643934,81.76013946533203,0.1863375505927119,0.5353473593154081,0.7115930894450995,24.92219352722168,0.1655986972600104,1.0099501609802246,0.3115503489971161,NaiveForecaster,ES,True,0.0005953215295448,-0.0005953215877525,-0.0005953215877525,ES,strong,medium,q1,"4,3,2","5,6,48",1.0635293372978218
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_MIN__item8932__ch3__win70,0.005,0,4,2,True,0.5,p_le_4,p_le_4,False,0.0,0.0036667073145508,65.59133911132812,0.1323808775269452,0.50053448810415,0.6903142970787717,23.94938087463379,0.2407560560293163,1.268689513206482,0.6343448162078857,ES,ES,False,0.0006079275044612,-0.0006079275044612,-0.0006079275044612,ES,weak,low,q1,"4,3,2","2,12,4",1.0634512306350332
current_rgb_3view,16,round2_selection_small,96_48_S__vali__TEST_DATA_HOUR__item100044__ch3__win202,0.005,2,4,16,True,0.0,p_le_4,p_9_16,True,0.0,0.0006579253822565,87.96368408203125,0.2071229690743103,0.481633601088265,0.6531594156731801,23.544189453125,0.2031000551700779,1.1924011707305908,0.5962005853652954,ES,ES,False,0.0005696366424672,-0.0005696367006748,-0.0005696367006748,ES,strong,high,q1,"4,3,2","16,8,32",1.0633824399175684
current_rgb_3view,16,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_HOUR__item109973__ch2__win869,0.005,2,4,16,True,0.0,p_le_4,p_9_16,True,0.0,0.0006579253822565,87.96368408203125,0.2071229690743103,0.481633601088265,0.6531594156731801,23.544189453125,0.2031000551700779,1.1924011707305908,0.5962005853652954,ES,ES,False,0.0005696366424672,-0.0005696367006748,-0.0005696367006748,ES,strong,high,q1,"4,3,2","16,8,32",1.0633824399175684
current_rgb_3view,16,round2_diagnostic_balanced_small,96_48_S__vali__TEST_DATA_MIN__item20261__ch2__win307,0.001,2,4,8,True,0.0,p_le_4,p_5_8,True,0.0,0.0001109293079935,62.677337646484375,0.1229048902645814,0.4807508793147624,0.6676383053574482,23.72068977355957,0.2727733145734418,1.332152009010315,0.6660760045051575,ES,ES,False,0.0006303751724772,-0.0006303751142695,-0.0006303751142695,ES,weak,high,q1,"4,3,2","8,6,96",1.0633165101954714
