variant,visual_input_mode,visual_dim,sample_set,method_kind,seed,method,selected_model,count,ratio
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,ES,569,0.0569
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,1283,0.1283
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,16,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,2362,0.2362
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,CrossFormer,474,0.0474
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,DLinear,4828,0.4828
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,ES,2014,0.2014
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,914,0.0914
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,17,film_cls_mean_concat_aux_hard_top1,PatchTST,1770,0.177
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,474,0.0474
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,4828,0.4828
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,ES,2014,0.2014
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,914,0.0914
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,17,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,1770,0.177
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,CrossFormer,720,0.072
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,DLinear,4313,0.4313
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,ES,1051,0.1051
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,NaiveForecaster,2254,0.2254
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,hard_top1,18,film_cls_mean_concat_aux_hard_top1,PatchTST,1662,0.1662
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_cls_mean_concat_aux_raw_soft_fusion,CrossFormer,720,0.072
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_cls_mean_concat_aux_raw_soft_fusion,DLinear,4313,0.4313
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_cls_mean_concat_aux_raw_soft_fusion,ES,1051,0.1051
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_cls_mean_concat_aux_raw_soft_fusion,NaiveForecaster,2254,0.2254
film_cls_mean_concat_aux,cls_mean_concat,1536,round2_diagnostic_balanced_expanded,raw_soft_fusion,18,film_cls_mean_concat_aux_raw_soft_fusion,PatchTST,1662,0.1662
film_mean_patch_aux,mean_patch,768,round2_diagnostic_balanced_expanded,hard_top1,16,film_mean_patch_aux_hard_top1,CrossFormer,2810,0.281
